--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.1429     0.7143     -0.6625    2.0000    2.3299    
SITE5        11     0.4545     0.8182     0.5896     1.0000    1.5076    
SITE6        13     0.6154     0.9231     0.7165     0.8462    1.8187    
SITE7        31     0.3871     0.7742     0.0435     1.5484    2.4097    
SITE8        14     0.5000     0.9286     0.6307     0.7857    1.2247    
SITE10       16     0.5625     0.6875     0.4179     1.2500    2.0000    
SITE11       6      0.1667     0.3333     -1.7923    3.8333    4.4907    
SITE12       16     0.4375     0.7500     0.3834     1.3125    1.9526    
SITE13       29     0.3448     0.7241     -0.3419    1.6552    2.3044    
SITE14       10     0.2000     0.8000     0.4630     1.5000    1.9235    
SITE15       19     0.2105     0.5789     -0.7992    2.7368    3.4944    
SITE17       21     0.3333     0.6190     -0.4030    2.2381    3.1997    
SITE18       20     0.4500     0.7500     0.2110     1.4500    2.2694    
SITE19       44     0.3864     0.8409     0.1768     1.1818    1.9188    
SITE20       10     0.5000     0.9000     0.7552     0.9000    1.3784    
SITE21       14     0.4286     1.0000     0.8513     0.7857    1.1019    
SITE22       60     0.5333     0.9333     0.2280     0.8167    1.4318    
SITE24       11     0.1818     0.6364     0.1033     2.0000    2.3355    
SITE25       24     0.1667     0.7083     -0.0420    1.8750    2.2822    
SITE26       16     0.5625     0.8125     0.6199     1.0625    1.8200    
SITE29       17     0.3529     0.6471     0.0009     1.8824    2.7225    
SITE30       13     0.3077     0.7692     0.7225     1.1538    1.5933    
SITE33       22     0.2273     0.5455     -0.8193    2.5000    3.4311    
SITE35       7      0.8571     0.8571     0.7542     0.7143    1.8898    
SITE36       10     0.7000     0.9000     0.6704     0.9000    2.0248    
SITE40       24     0.3333     0.7917     -0.0304    1.5417    2.0716    
SITE41       31     0.4839     0.9355     0.5586     0.8710    1.5134    
SITE42       12     0.5000     0.8333     0.6957     1.0833    1.7078    
SITE43       19     0.3158     0.5789     -0.4192    2.1053    2.9019    
SITE45       23     0.3913     0.6957     0.1828     1.6957    2.5792    
SITE48       16     0.4375     0.6875     -0.3428    1.8750    2.9791    
SITE49       10     0.5000     0.9000     0.5721     0.9000    1.3784    
SITE50       8      0.6250     1.0000     0.9230     0.5000    0.8660    
SITE53       15     0.4000     0.6667     0.3568     1.4000    1.9833    
SITE58       21     0.4762     0.7619     0.3849     1.3333    2.0237    
SITE59       12     0.1667     0.5000     -1.4161    3.1667    4.1833    
SITE65       13     0.1538     0.5385     -0.3973    2.7692    3.4862    
SITE66       11     0.1818     0.3636     -3.0163    4.1818    5.3428    
SITE73       18     0.3889     0.7778     0.4227     1.5556    2.4267    
SITE75       13     0.5385     0.6923     0.2353     1.3846    2.2188    
SITE76       7      0.7143     1.0000     0.9430     0.4286    0.8452    
SITE78       11     0.6364     0.8182     0.7295     0.9091    1.6514    
SITE80       6      0.8333     0.8333     0.8521     0.5000    1.2247    
SITE81       10     0.4000     0.6000     -0.4980    2.4000    3.3764    
SITE84       16     0.4375     1.0000     0.6949     0.7500    1.0607    
SITE86       10     0.5000     0.8000     0.3567     1.2000    2.0976    
SITE94       21     0.4286     0.7143     -0.0152    1.6667    2.5542    
SITE95       6      0.6667     0.8333     0.8664     0.6667    1.2910    
SITE96       6      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE97       7      0.8571     0.8571     0.6137     1.0000    2.6458    
SITE98       20     0.2500     0.7000     -0.1393    2.0500    2.8018    
SITE104      12     0.4167     0.7500     0.0929     1.3333    2.0000    
SITE106      14     0.4286     0.9286     0.7357     0.9286    1.4392    
SITE111      15     0.6667     0.8000     0.1176     1.3333    2.7325    
SITE115      17     0.4706     0.7647     -0.0636    1.5294    2.6346    
SITE116      14     0.4286     0.7857     0.4868     1.2857    1.9640    
SITE117      24     0.2917     0.7083     -0.2672    1.7083    2.3541    
SITE119      12     0.5000     0.6667     -0.0928    1.8333    2.9721    
SITE125      8      0.3750     0.7500     0.0571     1.7500    2.8284    
SITE127      16     0.4375     0.7500     0.3250     1.2500    1.8371    
SITE128      18     0.2222     0.6667     -0.2320    2.0556    2.8771    
SITE129      15     0.4000     0.6667     -0.1061    2.0000    2.9665    
SITE132      8      0.2500     0.7500     -0.1639    2.1250    3.1425    
SITE134      9      0.5556     0.6667     -0.3271    1.8889    3.1091    
SITE156      17     0.3529     0.7059     0.4472     1.4118    1.9403    
SITE160      10     0.7000     0.9000     0.6517     0.8000    1.5492    
SITE161      14     0.6429     0.7857     0.5078     0.9286    1.7928    
SITE165      7      0.1429     0.5714     -0.4946    2.7143    3.3594    
SITE167      11     0.4545     0.7273     -0.4373    1.8182    2.9848    
SITE168      10     0.4000     0.8000     0.5421     1.4000    2.0976    
SITE169      14     0.2857     0.7143     0.2797     1.5714    2.1381    
SITE171      14     0.2143     0.5714     -0.9121    2.5000    3.4949    
SITE178      12     0.3333     0.8333     0.3617     1.3333    1.8257    
SITE179      27     0.1852     0.6296     -0.1277    2.0000    2.5240    
SITE186      19     0.3158     0.5263     -0.2519    2.4737    3.3166    
SITE193      15     0.4000     0.7333     -0.0281    2.0667    3.1517    
SITE194      18     0.3333     0.6667     -0.4782    1.8333    2.5055    
SITE198      14     0.5000     0.7143     -0.5635    1.6429    2.7903    
SITE203      33     0.3939     0.7879     0.5337     1.2727    1.8257    
SITE205      24     0.3333     0.7917     0.3941     1.4167    1.9579    
SITE207      12     0.3333     0.8333     -0.2757    1.4167    2.2174    
SITE208      13     0.4615     0.9231     0.6058     1.1538    1.8187    
SITE209      8      0.3750     0.7500     -0.2477    1.6250    2.5249    
SITE212      9      0.4444     0.5556     -0.8445    2.4444    3.5901    
SITE215      33     0.5152     0.8182     0.4801     1.1515    1.9848    
SITE217      16     0.3125     0.5625     -0.1389    2.0625    2.7726    
SITE219      15     0.2667     0.5333     -0.3520    2.4667    3.2558    
SITE229      14     0.5000     0.7857     -0.0464    1.5714    2.8785    
SITE230      11     0.6364     0.9091     0.8344     0.6364    1.3143    
SITE231      7      0.4286     0.7143     0.6374     1.2857    1.8127    
SITE234      11     0.2727     0.6364     -0.6383    1.8182    2.2563    
SITE239      15     0.5333     0.7333     0.0333     1.6000    2.7809    
SITE240      14     0.2857     0.7143     0.5201     1.4286    1.9272    
SITE241      25     0.3200     0.7200     0.2888     1.6400    2.3409    
SITE244      12     0.1667     0.7500     0.5234     1.6667    2.0412    
SITE245      15     0.4667     0.6667     -0.3426    2.1333    3.4059    
SITE251      11     0.3636     0.7273     -0.1178    1.8182    2.8284    
SITE253      30     0.3333     0.7333     0.0613     1.6667    2.4083    
SITE256      5      0.2000     0.8000     0.3534     1.4000    1.7321    
SITE258      12     0.4167     0.7500     0.3333     1.3333    2.0000    
SITE259      9      0.4444     0.7778     0.3359     1.6667    2.7285    
SITE261      15     0.4667     0.7333     0.1649     1.5333    2.6458    
SITE262      20     0.4000     0.8000     -0.2295    1.5500    2.5981    
SITE268      13     0.3846     0.6923     0.2073     1.7692    2.5570    
SITE272      13     0.3077     0.6154     -0.1465    2.0769    3.1256    
SITE276      12     0.6667     0.8333     0.3709     0.7500    1.5000    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE304      5      0.6000     0.6000     -0.6602    2.6000    4.1231    
SITE309      13     0.3846     0.7692     0.4029     1.5385    2.3205    
SITE310      7      0.2857     0.5714     -0.6845    2.5714    3.5857    
SITE322      9      0.5556     0.7778     0.4282     1.0000    1.5986    
SITE323      9      0.5556     0.7778     0.1107     1.3333    2.3570    
SITE324      17     0.3529     0.7059     0.1007     1.8235    2.8180    
SITE325      8      0.5000     1.0000     0.8587     0.8750    1.2748    
SITE327      16     0.4375     0.6875     -0.6486    2.3750    3.8243    
SITE330      14     0.3571     0.7857     0.1906     1.5000    2.2520    
SITE331      7      0.5714     0.7143     0.5081     1.1429    1.9272    
SITE332      9      0.5556     0.8889     0.2582     0.7778    1.2910    
SITE333      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE334      12     0.8333     0.8333     0.2584     0.9167    2.2546    
SITE336      5      0.4000     0.8000     -0.3281    1.4000    1.8439    
SITE338      5      0.6000     0.8000     -0.6250    1.0000    1.6125    
SITE339      8      0.5000     0.7500     0.3315     1.2500    1.9365    
SITE340      12     0.3333     0.8333     0.1729     1.4167    2.1794    
SITE343      12     0.4167     0.5000     0.0389     1.8333    2.4495    
SITE345      7      0.5714     0.8571     0.7169     0.7143    1.2536    
SITE353      8      0.7500     0.8750     0.7802     0.5000    1.1180    
SITE355      9      0.6667     0.7778     0.2882     1.2222    2.5604    
SITE358      14     0.3571     0.7143     0.0828     1.5714    2.3299    
SITE360      8      0.5000     0.8750     0.5463     0.8750    1.5411    
SITE361      7      0.5714     0.8571     0.6475     0.8571    1.4142    
SITE362      11     0.4545     0.8182     0.5244     1.3636    2.2361    
SITE363      11     0.6364     0.7273     -0.0656    1.2727    2.3741    
SITE366      12     0.3333     0.5833     -0.3484    2.2500    3.1491    
SITE367      8      0.7500     0.7500     0.5893     0.8750    1.7678    
SITE375      6      0.8333     1.0000     0.9795     0.1667    0.4082    
SITE376      9      0.3333     0.6667     -0.0370    1.7778    2.4944    
SITE377      12     0.5000     0.7500     0.2862     1.2500    2.1016    
SITE380      8      0.6250     0.7500     0.6501     1.0000    1.6583    
SITE383      4      0.2500     0.5000     -0.2222    2.0000    2.3452    
SITE385      9      0.6667     0.7778     0.0536     1.2222    2.4267    
SITE386      11     0.6364     0.9091     0.7863     0.6364    1.1677    
SITE388      7      0.4286     0.7143     -0.0194    1.4286    2.0702    
SITE389      11     0.8182     0.9091     0.5406     0.6364    1.8340    
SITE397      14     0.4286     0.9286     0.5853     1.0714    1.7113    
SITE401      7      0.7143     0.8571     0.7287     0.5714    1.1952    
SITE404      6      0.6667     0.6667     -0.0250    1.5000    2.6141    
SITE406      6      0.3333     0.6667     -0.1489    2.1667    3.2404    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.7241     -0.0061    1.5517    2.1254    
SITE417      24     0.2083     0.7083     0.1809     1.7500    2.2361    
SITE420      15     0.2000     0.7333     0.1589     1.6000    2.0000    
SITE421      11     0.5455     0.8182     0.2635     1.4545    2.3741    
SITE422      13     0.2308     0.7692     0.3758     1.5385    1.8811    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.4667     0.7333     0.2318     1.4667    2.2509    
SITE430      9      0.4444     0.6667     -0.1399    2.4444    3.8586    
SITE434      12     0.5000     0.6667     -0.0366    1.5833    2.6615    
SITE435      9      0.6667     0.7778     0.5448     1.0000    1.9720    
SITE437      18     0.2778     0.6111     -0.7458    2.5000    3.3582    
SITE438      15     0.2000     0.7333     -0.4944    2.0000    2.6583    
SITE439      13     0.5385     0.8462     0.6981     0.9231    1.5689    
SITE442      19     0.3684     0.8947     0.5288     1.3158    1.9057    
SITE443      6      0.5000     0.5000     -0.7554    3.0000    4.5092    
SITE446      18     0.3889     0.7222     -0.1963    2.1111    3.2660    
SITE447      5      0.4000     0.4000     0.0421     2.2000    2.8636    
SITE454      7      0.5714     0.5714     -1.0476    2.2857    3.5051    
SITE455      9      0.2222     0.5556     0.2256     2.2222    2.8674    
SITE460      4      0.5000     0.5000     0.3421     1.7500    2.5000    
SITE461      5      0.2000     0.8000     0.5089     1.6000    2.0976    
SITE463      6      0.5000     0.6667     -0.4579    2.3333    3.6056    
SITE464      8      0.6250     0.8750     0.8388     0.7500    1.3229    
SITE468      6      0.5000     0.8333     0.3571     1.3333    2.0000    
SITE469      4      0.7500     1.0000     0.6364     0.2500    0.5000    
SITE471      17     0.5294     0.6471     0.1811     1.7059    2.7547    
SITE474      6      0.3333     0.3333     -1.2133    2.8333    3.7193    
SITE477      14     0.4286     0.7857     0.1026     1.5714    2.6726    
SITE483      9      0.4444     0.7778     0.4459     1.4444    2.1344    
SITE485      10     0.3000     0.8000     0.3293     1.6000    2.5690    
SITE486      6      0.8333     1.0000     0.9636     0.1667    0.4082    
SITE490      13     0.3846     0.6923     -0.1270    1.6923    2.5720    
SITE492      6      0.3333     0.6667     -0.3483    1.3333    1.8257    
SITE506      10     0.7000     0.8000     0.4058     0.9000    1.8708    
SITE508      27     0.5185     0.7778     0.2279     1.4444    2.5459    
SITE510      6      0.8333     0.8333     -0.2618    1.1667    2.8577    
SITE520      16     0.3125     0.6875     0.3534     1.6250    2.1506    
SITE521      17     0.5294     0.8824     0.7760     1.0000    1.5904    
SITE522      18     0.5000     0.6667     -0.0015    1.7778    2.9059    
SITE528      11     0.7273     0.9091     0.8091     0.4545    1.0000    
SITE538      7      0.7143     0.7143     0.5415     1.2857    2.4202    
SITE539      7      0.4286     0.5714     -0.1947    2.1429    3.1848    
SITE540      6      0.5000     0.6667     0.2416     1.8333    2.7386    
SITE541      9      0.6667     0.7778     0.7461     1.0000    1.7951    
SITE542      8      0.8750     1.0000     0.9889     0.1250    0.3536    
SITE545      9      0.8889     1.0000     0.9872     0.1111    0.3333    
SITE547      7      0.8571     0.8571     0.7083     0.8571    2.2678    
SITE556      6      0.3333     0.6667     0.2520     1.8333    2.7988    
SITE557      19     0.3684     0.8947     0.7272     1.0526    1.4510    
SITE561      15     0.2000     0.6667     -0.1117    2.1333    3.1623    
SITE563      10     0.6000     0.7000     0.2418     1.4000    2.4083    
SITE564      9      0.6667     0.7778     0.6170     1.1111    2.0000    
SITE568      7      0.7143     0.8571     0.7892     0.5714    1.1952    
SITE569      11     0.6364     0.8182     0.6416     0.8182    1.4460    
SITE572      8      0.7500     1.0000     0.9304     0.3750    0.7906    
SITE574      9      0.4444     0.7778     0.7195     1.1111    1.6330    
SITE575      15     0.3333     0.6000     -0.5555    2.2000    3.2352    
SITE577      9      0.3333     0.4444     -0.5217    2.8889    3.9441    
SITE578      7      0.7143     0.8571     -1.1212    1.1429    2.3905    
SITE580      6      0.5000     0.6667     -0.5400    2.1667    3.5824    
SITE581      10     0.8000     1.0000     0.9109     0.3000    0.7071    
SITE584      8      0.7500     1.0000     0.9217     0.3750    0.7906    
SITE587      8      0.7500     0.8750     0.8450     0.6250    1.2748    
SITE593      11     0.4545     0.8182     0.2357     1.3636    2.1532    
SITE595      18     0.5000     0.7778     0.3945     1.2778    2.1213    
SITE597      8      0.5000     0.8750     0.6538     0.8750    1.5411    
SITE598      7      0.5714     0.7143     0.1574     1.1429    1.9272    
SITE601      8      0.7500     0.7500     0.5652     1.1250    2.3717    
SITE602      12     0.5000     0.8333     0.2424     1.4167    2.5981    
SITE606      15     0.6000     0.8000     0.2900     1.4667    2.7080    
SITE607      12     0.1667     0.5833     -0.1018    2.5000    3.1623    
SITE610      10     0.4000     0.9000     0.7177     1.2000    1.6125    
SITE612      14     0.2857     0.5000     -0.1278    2.1429    2.8785    
SITE616      13     0.4615     0.8462     0.7212     1.0769    1.5689    
SITE617      10     0.6000     0.8000     0.6064     1.1000    1.9235    
SITE620      17     0.5294     0.8824     0.6887     1.0588    1.6450    
SITE622      13     0.3846     0.5385     -0.4054    2.1538    3.1379    
SITE623      8      0.3750     1.0000     0.3333     0.7500    1.0000    
SITE624      9      0.2222     0.5556     -0.7960    2.5556    3.1447    
SITE626      10     0.9000     0.9000     0.8645     0.4000    1.2649    
SITE629      13     0.5385     0.8462     0.5000     1.1538    2.0569    
SITE639      11     0.3636     0.8182     0.5378     1.2727    1.9069    
SITE648      7      0.4286     0.8571     0.8273     1.0000    1.4639    
SITE658      16     0.4375     0.7500     0.4921     1.3750    2.0000    
SITE683      7      0.7143     1.0000     0.6818     0.4286    0.8452    
SITE684      14     0.2857     0.8571     0.3089     1.5714    2.3604    
SITE692      15     0.4000     0.6667     0.0244     1.7333    2.5298    
SITE719      16     0.4375     0.8750     0.4791     1.3125    1.9843    
SITE721      12     0.4167     0.6667     -0.0588    2.1667    3.0822    
SITE722      14     0.5000     0.7143     -0.0500    1.5000    2.3146    
SITE725      9      0.3333     0.7778     -0.1216    1.8889    3.0368    
SITE734      13     0.4615     0.7692     -0.5914    2.0000    3.3050    
SITE735      17     0.3529     0.7647     0.2227     1.7059    2.5321    
SITE739      10     0.5000     0.9000     0.7085     0.9000    1.5166    
SITE747      30     0.3333     0.7667     0.0588     1.6333    2.4563    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.3000     0.8000     0.1027     1.9000    3.1145    
SITE801      8      0.6250     0.8750     0.4370     1.0000    2.1794    
SITE802      9      0.3333     0.8889     0.7231     1.1111    1.4907    
SITE807      7      0.5714     0.8571     0.1923     1.1429    1.8516    
SITE808      7      0.5714     0.8571     0.5374     1.1429    2.0702    
SITE821      10     0.5000     0.7000     -0.1948    1.9000    3.3317    
SITE831      11     0.2727     0.5455     -0.9643    2.9091    4.0452    
SITE844      7      0.7143     1.0000     0.9563     0.2857    0.5345    
SITE852      14     0.5000     0.8571     0.6511     1.0000    1.5119    
SITE871      7      0.4286     0.8571     0.8063     1.0000    1.4639    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.4455     0.7593     0.3008     1.4824    2.3887    
--------------------------------------------------------------------------------------------------------------
