site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,6,21,0.1428571492433548,0.7142857313156128,-0.6624999046325684,2.0,2.3299293518066406,1.6862606406211853,2.304232597351074,6
SITE5,40,29,11,48,60,0.4545454680919647,0.8181818127632141,0.589552253484726,1.0,1.507556676864624,1.309635043144226,1.7036490440368652,48
SITE6,47,34,13,12,27,0.6153846383094788,0.9230769276618958,0.7165314257144928,0.8461538553237915,1.8187061548233032,1.4892090956370037,1.543821096420288,12
SITE7,129,98,31,26,41,0.3870967626571655,0.774193525314331,0.04353785514831543,1.548387050628662,2.4096579551696777,1.3609207698277064,1.8002161979675293,26
SITE8,57,43,14,27,42,0.5,0.9285714030265808,0.6306532323360443,0.7857142686843872,1.2247449159622192,1.3328046401341755,1.6315703392028809,27
SITE10,58,42,16,26,41,0.5625,0.6875,0.4178510308265686,1.25,2.0,1.1744648218154907,1.6656908988952637,26
SITE11,27,21,6,19,34,0.1666666716337204,0.3333333432674408,-1.7923078536987305,3.8333332538604736,4.490731239318848,1.0607265830039978,2.0103981494903564,19
SITE12,60,44,16,52,60,0.4375,0.75,0.38344913721084595,1.3125,1.9525624513626099,0.9690331816673279,1.7154457569122314,52
SITE13,133,104,29,4,19,0.3448275923728943,0.7241379022598267,-0.341947078704834,1.6551724672317505,2.3044185638427734,1.7176215989249093,1.8636977076530457,4
SITE14,34,24,10,32,47,0.20000000298023224,0.800000011920929,0.46298980712890625,1.5,1.9235384464263916,1.1142575144767761,1.72859787940979,32
SITE15,74,55,19,11,26,0.21052631735801697,0.5789473652839661,-0.7991836071014404,2.736842155456543,3.494356393814087,1.6766608357429504,1.944456696510315,11
SITE17,77,56,21,30,45,0.3333333432674408,0.6190476417541504,-0.40304529666900635,2.238095283508301,3.199702262878418,1.1666844487190247,1.894432544708252,30
SITE18,82,62,20,15,30,0.44999998807907104,0.75,0.21103030443191528,1.4500000476837158,2.2693612575531006,1.0474337488412857,1.519461452960968,15
SITE19,198,154,44,21,36,0.3863636255264282,0.8409090638160706,0.17681026458740234,1.1818181276321411,1.9188064336776733,1.1926434695720673,1.5558654467264812,21
SITE20,33,23,10,60,60,0.5,0.8999999761581421,0.7551546394824982,0.8999999761581421,1.3784048557281494,0.9058831632137299,1.499491572380066,60
SITE21,61,47,14,7,22,0.4285714328289032,1.0,0.8513429015874863,0.7857142686843872,1.1019463539123535,1.4041229486465454,1.4887592792510986,7
SITE22,281,221,60,21,36,0.5333333611488342,0.9333333373069763,0.22803354263305664,0.8166666626930237,1.4317821264266968,1.0187317941870009,1.3716875612735748,21
SITE24,37,26,11,22,37,0.1818181872367859,0.6363636255264282,0.1032608151435852,2.0,2.3354969024658203,1.1395742893218994,1.9759563207626343,22
SITE25,100,76,24,9,24,0.1666666716337204,0.7083333134651184,-0.04202842712402344,1.875,2.282177448272705,1.6514518499374389,1.8731377124786377,9
SITE26,57,41,16,44,59,0.5625,0.8125,0.6199013888835907,1.0625,1.820027470588684,0.8701377709706625,1.3892431259155273,44
SITE29,59,42,17,1,16,0.3529411852359772,0.6470588445663452,0.0009328126907348633,1.8823529481887817,2.7224557399749756,1.966690182685852,2.0231162905693054,1
SITE30,45,32,13,8,23,0.3076923191547394,0.7692307829856873,0.7225096821784973,1.1538461446762085,1.5932550430297852,1.4553134441375732,1.8274927139282227,8
SITE33,76,54,22,17,32,0.22727273404598236,0.5454545617103577,-0.8192847967147827,2.5,3.431140661239624,1.3458245694637299,1.805927038192749,17
SITE35,25,18,7,60,60,0.8571428656578064,0.8571428656578064,0.7542134821414948,0.7142857313156128,1.8898223638534546,0.4818528741598129,0.7359799146652222,60
SITE36,29,19,10,59,60,0.699999988079071,0.8999999761581421,0.6704180240631104,0.8999999761581421,2.024845600128174,0.8885857462882996,1.6410601139068604,59
SITE40,95,71,24,27,42,0.3333333432674408,0.7916666865348816,-0.030429363250732422,1.5416666269302368,2.071633815765381,1.2672260046005248,1.873744785785675,27
SITE41,132,101,31,25,40,0.4838709533214569,0.9354838728904724,0.5585640072822571,0.8709677457809448,1.5133811235427856,1.3030626433236259,1.5883844494819641,25
SITE42,36,24,12,43,58,0.5,0.8333333134651184,0.695652186870575,1.0833333730697632,1.7078251838684082,0.7803109288215637,1.327500581741333,43
SITE43,73,54,19,48,60,0.31578946113586426,0.5789473652839661,-0.4192342758178711,2.1052632331848145,2.901905059814453,1.1605895161628723,1.8266357779502869,48
SITE45,86,63,23,8,23,0.3913043439388275,0.695652186870575,0.18276816606521606,1.6956521272659302,2.579180955886841,1.5557598173618317,1.7810136079788208,8
SITE48,56,40,16,36,51,0.4375,0.6875,-0.3427896499633789,1.875,2.9790937900543213,1.0683560768763225,1.814594030380249,36
SITE49,33,23,10,30,45,0.5,0.8999999761581421,0.5720720887184143,0.8999999761581421,1.3784048557281494,1.2925233244895935,1.7423137426376343,30
SITE50,32,24,8,40,55,0.625,1.0,0.9229534491896629,0.5,0.8660253882408142,0.8971663117408752,1.1233737468719482,40
SITE53,53,38,15,51,60,0.4000000059604645,0.6666666865348816,0.356831431388855,1.399999976158142,1.983263373374939,1.0986244678497314,1.7236864566802979,51
SITE58,79,58,21,23,38,0.4761904776096344,0.761904776096344,0.38487738370895386,1.3333333730697632,2.023669481277466,1.262578308582306,1.582838535308838,23
SITE59,43,31,12,38,53,0.1666666716337204,0.5,-1.4161076545715332,3.1666667461395264,4.183300018310547,0.9984050691127777,2.0594871044158936,38
SITE65,41,28,13,15,30,0.1538461595773697,0.5384615659713745,-0.39727890491485596,2.769230842590332,3.486236572265625,1.1582680344581604,2.103569746017456,15
SITE66,36,25,11,8,23,0.1818181872367859,0.3636363744735718,-3.0162792205810547,4.181818008422852,5.342794418334961,1.3589239716529846,2.0677731037139893,8
SITE73,71,53,18,20,35,0.3888888955116272,0.7777777910232544,0.4226928949356079,1.5555555820465088,2.4267032146453857,1.4562453627586365,1.4965084195137024,20
SITE75,48,35,13,33,48,0.5384615659713745,0.692307710647583,0.23529404401779175,1.384615421295166,2.2188007831573486,0.9211134910583496,1.4392826557159424,33
SITE76,26,19,7,36,51,0.7142857313156128,1.0,0.9429967440664768,0.4285714328289032,0.8451542854309082,1.025316596031189,1.5716603994369507,36
SITE78,36,25,11,32,47,0.6363636255264282,0.8181818127632141,0.7295082211494446,0.9090909361839294,1.6514456272125244,1.0230494141578674,1.463059425354004,32
SITE80,26,20,6,59,60,0.8333333134651184,0.8333333134651184,0.8520548045635223,0.5,1.2247449159622192,0.729731410741806,1.074411153793335,59
SITE81,36,26,10,50,60,0.4000000059604645,0.6000000238418579,-0.4980287551879883,2.4000000953674316,3.3763885498046875,0.8575056493282318,1.7308698892593384,50
SITE84,61,45,16,30,45,0.4375,1.0,0.6949152648448944,0.75,1.0606601238250732,1.2640304168065388,1.5593197345733643,30
SITE86,34,24,10,47,60,0.5,0.800000011920929,0.35672521591186523,1.2000000476837158,2.0976176261901855,0.9880528748035431,1.6223499774932861,47
SITE94,81,60,21,48,60,0.4285714328289032,0.7142857313156128,-0.015172958374023438,1.6666666269302368,2.5541749000549316,0.9685564339160919,1.3907500505447388,48
SITE95,23,17,6,60,60,0.6666666865348816,0.8333333134651184,0.8663697093725204,0.6666666865348816,1.29099440574646,0.4730915054678917,1.1027370691299438,60
SITE96,21,15,6,60,60,1.0,1.0,1.0,0.0,0.0,0.6640978455543518,0.7742981910705566,60
SITE97,25,18,7,60,60,0.8571428656578064,0.8571428656578064,0.6137387156486511,1.0,2.6457512378692627,0.3745293468236923,0.5955370664596558,60
SITE98,78,58,20,5,20,0.25,0.699999988079071,-0.13933241367340088,2.049999952316284,2.8017852306365967,1.7614740431308746,2.086025357246399,5
SITE104,48,36,12,27,42,0.4166666567325592,0.75,0.09291344881057739,1.3333333730697632,2.0,1.2505929867426555,1.7642590999603271,27
SITE106,52,38,14,15,30,0.4285714328289032,0.9285714030265808,0.7356770634651184,0.9285714030265808,1.4392458200454712,1.4633174737294514,1.587214708328247,15
SITE111,55,40,15,27,42,0.6666666865348816,0.800000011920929,0.11764705181121826,1.3333333730697632,2.73252010345459,1.1909347772598267,1.5894436836242676,27
SITE115,67,50,17,1,16,0.47058823704719543,0.7647058963775635,-0.06362676620483398,1.529411792755127,2.634611129760742,1.8248319029808044,1.9355698227882385,1
SITE116,55,41,14,24,39,0.4285714328289032,0.7857142686843872,0.4867616891860962,1.2857142686843872,1.9639610052108765,1.1600503126780193,1.5565992593765259,24
SITE117,105,81,24,28,43,0.2916666567325592,0.7083333134651184,-0.2671695947647095,1.7083333730697632,2.354074478149414,1.5326647758483887,1.8514652848243713,28
SITE119,41,29,12,12,27,0.5,0.6666666865348816,-0.09278345108032227,1.8333333730697632,2.972092390060425,1.3463234305381775,1.6517963409423828,12
SITE125,27,19,8,41,56,0.375,0.75,0.05709022283554077,1.75,2.8284270763397217,1.03831285238266,1.7934095859527588,41
SITE127,60,44,16,8,23,0.4375,0.75,0.32499998807907104,1.25,1.837117314338684,1.634692390759786,1.7656805515289307,8
SITE128,71,53,18,24,39,0.2222222238779068,0.6666666865348816,-0.2319706678390503,2.055555582046509,2.877112627029419,1.2747676074504852,1.5448119640350342,24
SITE129,59,44,15,18,33,0.4000000059604645,0.6666666865348816,-0.10614526271820068,2.0,2.966479539871216,1.4763850371042888,2.0624923706054688,18
SITE132,34,26,8,34,49,0.25,0.75,-0.16390419006347656,2.125,3.142451286315918,0.9634621143341064,1.613365650177002,34
SITE134,26,17,9,48,60,0.5555555820465088,0.6666666865348816,-0.3271186351776123,1.8888888359069824,3.109126329421997,1.4363442063331604,1.8364206552505493,48
SITE156,72,55,17,2,17,0.3529411852359772,0.7058823704719543,0.44715452194213867,1.4117647409439087,1.9402849674224854,1.8980232775211334,1.6494135856628418,2
SITE160,34,24,10,2,17,0.699999988079071,0.8999999761581421,0.6516690850257874,0.800000011920929,1.5491933822631836,1.721165657043457,1.6122112274169922,2
SITE161,56,42,14,28,43,0.6428571343421936,0.7857142686843872,0.5078125596046448,0.9285714030265808,1.7928428649902344,1.1473293701807659,1.5076569318771362,28
SITE165,31,24,7,25,40,0.1428571492433548,0.5714285969734192,-0.4945945739746094,2.7142856121063232,3.359421730041504,1.3023048639297485,1.8578475713729858,25
SITE167,38,27,11,19,34,0.4545454680919647,0.7272727489471436,-0.43733322620391846,1.8181818723678589,2.9848101139068604,1.25681871175766,1.5547194480895996,19
SITE168,39,29,10,28,43,0.4000000059604645,0.800000011920929,0.5421435832977295,1.399999976158142,2.0976176261901855,0.9686620831489563,1.5076192617416382,28
SITE169,53,39,14,13,28,0.2857142984867096,0.7142857313156128,0.27974265813827515,1.5714285373687744,2.138089895248413,1.5361418724060059,1.6346062421798706,13
SITE171,48,34,14,1,16,0.2142857164144516,0.5714285969734192,-0.9121407270431519,2.5,3.49489426612854,1.9390312035878499,1.8398168087005615,1
SITE178,41,29,12,47,60,0.3333333432674408,0.8333333134651184,0.36170220375061035,1.3333333730697632,1.8257418870925903,1.160950481891632,1.7892736196517944,47
SITE179,109,82,27,16,31,0.18518517911434174,0.6296296119689941,-0.12773191928863525,2.0,2.523959159851074,1.6702121098836262,2.048245668411255,16
SITE186,78,59,19,14,29,0.31578946113586426,0.5263158082962036,-0.2518916130065918,2.473684310913086,3.316624879837036,1.4224783182144165,1.6298161745071411,14
SITE193,55,40,15,35,50,0.4000000059604645,0.7333333492279053,-0.028059005737304688,2.066666603088379,3.151719093322754,1.0890992482503254,1.844963550567627,35
SITE194,80,62,18,20,35,0.3333333432674408,0.6666666865348816,-0.47819769382476807,1.8333333730697632,2.505549430847168,1.4435617625713348,1.7511096000671387,20
SITE198,56,42,14,32,47,0.5,0.7142857313156128,-0.563524603843689,1.6428571939468384,2.7902891635894775,1.0889233549435933,1.7465810775756836,32
SITE203,143,110,33,23,38,0.39393940567970276,0.7878788113594055,0.5336587727069855,1.2727272510528564,1.8257418870925903,1.177571449960981,1.3527367512385051,23
SITE205,89,65,24,43,58,0.3333333432674408,0.7916666865348816,0.3940724730491638,1.4166666269302368,1.9578900337219238,1.2749492406845093,1.9111865758895874,43
SITE207,46,34,12,11,26,0.3333333432674408,0.8333333134651184,-0.2756756544113159,1.4166666269302368,2.217355728149414,1.3858663241068523,1.6073896884918213,11
SITE208,52,39,13,50,60,0.4615384638309479,0.9230769276618958,0.6057828068733215,1.1538461446762085,1.8187061548233032,1.0812289516131084,1.5531480312347412,50
SITE209,25,17,8,31,46,0.375,0.75,-0.24770641326904297,1.625,2.524876117706299,1.0427481830120087,1.9080368280410767,31
SITE212,27,18,9,12,27,0.4444444477558136,0.5555555820465088,-0.8445228338241577,2.444444417953491,3.5901098251342773,1.0479642897844315,2.0001931190490723,12
SITE215,143,110,33,38,53,0.5151515007019043,0.8181818127632141,0.4801260232925415,1.1515151262283325,1.9847906827926636,0.8331285800252642,1.2782963911692302,38
SITE217,60,44,16,24,39,0.3125,0.5625,-0.13888883590698242,2.0625,2.7726340293884277,1.1856938203175862,1.6037894487380981,24
SITE219,60,45,15,49,60,0.2666666805744171,0.5333333611488342,-0.35204076766967773,2.4666666984558105,3.2557642459869385,0.8578235705693563,1.5368406772613525,49
SITE229,51,37,14,31,46,0.5,0.7857142686843872,-0.046391844749450684,1.5714285373687744,2.8784916400909424,1.2037152846654255,1.982987880706787,31
SITE230,35,24,11,60,60,0.6363636255264282,0.9090909361839294,0.8343898504972458,0.6363636255264282,1.3142575025558472,0.8943201303482056,1.2553738355636597,60
SITE231,29,22,7,15,30,0.4285714328289032,0.7142857313156128,0.6373873651027679,1.2857142686843872,1.8126540184020996,1.1274113059043884,1.5141364336013794,15
SITE234,41,30,11,48,60,0.27272728085517883,0.6363636255264282,-0.6382977962493896,1.8181818723678589,2.2563042640686035,1.1393815875053406,1.823899745941162,48
SITE239,56,41,15,3,18,0.5333333611488342,0.7333333492279053,0.03333336114883423,1.600000023841858,2.7808871269226074,1.7133800983428955,1.616518497467041,3
SITE240,51,37,14,2,17,0.2857142984867096,0.7142857313156128,0.5201054811477661,1.4285714626312256,1.927248239517212,1.6451025406519573,1.8306348323822021,2
SITE241,103,78,25,11,26,0.3199999928474426,0.7200000286102295,0.28882896900177,1.6399999856948853,2.340939998626709,1.3306497097015382,1.6066067218780518,11
SITE244,42,30,12,3,18,0.1666666716337204,0.75,0.523431271314621,1.6666666269302368,2.041241407394409,1.5025927424430847,1.5851144790649414,3
SITE245,50,35,15,38,53,0.46666666865348816,0.6666666865348816,-0.342592716217041,2.133333444595337,3.4058773517608643,1.223224441210429,1.7209855318069458,38
SITE251,43,32,11,56,60,0.3636363744735718,0.7272727489471436,-0.11778295040130615,1.8181818723678589,2.8284270763397217,0.9076309502124786,1.6338622570037842,56
SITE253,129,99,30,12,27,0.3333333432674408,0.7333333492279053,0.06131988763809204,1.6666666269302368,2.4083189964294434,1.5274635553359985,1.9048504829406738,12
SITE256,22,17,5,13,28,0.20000000298023224,0.800000011920929,0.3534482717514038,1.399999976158142,1.7320507764816284,1.950645923614502,1.8383516073226929,13
SITE258,43,31,12,14,29,0.4166666567325592,0.75,0.3333333134651184,1.3333333730697632,2.0,1.452876329421997,1.606034278869629,14
SITE259,29,20,9,59,60,0.4444444477558136,0.7777777910232544,0.3359031081199646,1.6666666269302368,2.7284510135650635,0.5755910277366638,1.3858829736709595,59
SITE261,57,42,15,54,60,0.46666666865348816,0.7333333492279053,0.16489934921264648,1.5333333015441895,2.6457512378692627,1.065372924009959,1.6492215394973755,54
SITE262,80,60,20,16,31,0.4000000059604645,0.800000011920929,-0.22950828075408936,1.5499999523162842,2.598076105117798,1.3362543284893036,1.6613391041755676,16
SITE268,44,31,13,7,22,0.38461539149284363,0.692307710647583,0.20731711387634277,1.7692307233810425,2.557041645050049,1.3638452887535095,1.8524140119552612,7
SITE272,55,42,13,18,33,0.3076923191547394,0.6153846383094788,-0.14652776718139648,2.076923131942749,3.125576972961426,1.0688259800275166,1.8579096794128418,18
SITE276,49,37,12,50,60,0.6666666865348816,0.8333333134651184,0.37087374925613403,0.75,1.5,1.0517336924870808,1.3740142583847046,50
SITE301,28,23,5,7,22,1.0,1.0,1.0,0.0,0.0,0.4187324494123459,0.12162595242261887,7
SITE304,22,17,5,1,16,0.6000000238418579,0.6000000238418579,-0.66015625,2.5999999046325684,4.123105525970459,2.1041423678398132,1.2439824342727661,1
SITE309,48,35,13,23,38,0.38461539149284363,0.7692307829856873,0.40288710594177246,1.5384615659713745,2.3204774856567383,0.8496746023495992,1.4223883152008057,23
