--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.7143     -0.8812    1.8571    2.4785    
SITE5        11     0.0909     0.6364     -0.1657    2.0909    2.5406    
SITE6        13     0.2308     0.5385     -0.8524    3.4615    4.6492    
SITE7        31     0.2581     0.6452     -0.0043    1.9032    2.4692    
SITE8        14     0.2857     0.7143     -0.4422    1.7143    2.4202    
SITE10       16     0.3750     0.6250     -1.0102    2.4375    3.7165    
SITE11       6      0.3333     0.5000     -1.7692    3.3333    4.4721    
SITE12       16     0.1250     0.5000     -0.8497    2.6875    3.3819    
SITE13       29     0.1724     0.7586     -0.6469    2.0345    2.5529    
SITE14       10     0.3000     0.7000     -0.0740    2.0000    2.7203    
SITE15       19     0.1053     0.3158     -1.5359    3.6316    4.1486    
SITE17       21     0.2381     0.4762     -1.4602    3.1905    4.2370    
SITE18       20     0.4000     0.8500     0.3642     1.3500    2.0372    
SITE19       44     0.2727     0.7727     0.1616     1.4318    1.9365    
SITE20       10     0.1000     0.7000     -1.5387    3.3000    4.4385    
SITE21       14     0.2857     0.7857     0.1430     1.7143    2.6458    
SITE22       60     0.3833     0.8833     0.0084     1.0667    1.6228    
SITE24       11     0.1818     0.6364     0.0435     2.0000    2.4121    
SITE25       24     0.1667     0.7500     -0.0254    1.7917    2.2638    
SITE26       16     0.4375     0.7500     0.2111     1.6250    2.6220    
SITE29       17     0.1176     0.3529     -1.3787    3.5294    4.2008    
SITE30       13     0.0000     0.6154     -0.3286    2.7692    3.4862    
SITE33       22     0.1818     0.5909     -0.0115    2.0909    2.5584    
SITE35       7      0.2857     0.2857     -2.0281    5.4286    6.6332    
SITE36       10     0.3000     0.5000     -1.0418    3.6000    5.0398    
SITE40       24     0.2917     0.6667     -0.6907    1.9583    2.6536    
SITE41       31     0.2581     0.6774     0.0425     1.7419    2.2288    
