site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,21,36,0.2857142984867096,0.7142857313156128,-0.8812499046325684,1.8571428060531616,2.4784786701202393,1.809895396232605,1.9973766803741455,21
SITE5,40,29,11,34,49,0.09090909361839294,0.6363636255264282,-0.16567158699035645,2.090909004211426,2.5405797958374023,1.9444113969802856,2.263416051864624,34
SITE6,47,34,13,38,53,0.23076923191547394,0.5384615659713745,-0.8524340391159058,3.461538553237915,4.649234771728516,1.9474968910217285,2.0724079608917236,38
SITE7,129,98,31,10,25,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,2.084743022918701,2.091286301612854,10
SITE8,57,43,14,54,60,0.2857142984867096,0.7142857313156128,-0.4422111511230469,1.7142857313156128,2.4201533794403076,1.9475263357162476,2.017446994781494,54
SITE10,58,42,16,60,60,0.375,0.625,-1.0102331638336182,2.4375,3.716517210006714,1.9432185490926106,2.0121936798095703,60
SITE11,27,21,6,56,60,0.3333333432674408,0.5,-1.769230842590332,3.3333332538604736,4.4721360206604,1.7380480766296387,1.8064708709716797,56
SITE12,60,44,16,56,60,0.125,0.5,-0.8496525287628174,2.6875,3.381937265396118,1.8538058598836262,2.1492702960968018,56
SITE13,133,104,29,30,45,0.17241379618644714,0.7586206793785095,-0.6469351053237915,2.034482717514038,2.552888870239258,1.8499109063829695,1.9995778799057007,30
SITE14,34,24,10,45,60,0.30000001192092896,0.699999988079071,-0.0740203857421875,2.0,2.720294237136841,1.7124041318893433,2.017507791519165,45
SITE15,74,55,19,26,41,0.10526315867900848,0.31578946113586426,-1.5359182357788086,3.6315789222717285,4.148557186126709,2.0238515436649323,2.0440494418144226,26
SITE17,77,56,21,29,44,0.2380952388048172,0.4761904776096344,-1.46022367477417,3.190476179122925,4.237025260925293,2.056577295064926,2.137972354888916,29
SITE18,82,62,20,48,60,0.4000000059604645,0.8500000238418579,0.3642283082008362,1.350000023841858,2.0371549129486084,1.5424161851406097,1.849995493888855,48
SITE19,198,154,44,39,54,0.27272728085517883,0.7727272510528564,0.16156601905822754,1.4318181276321411,1.9364917278289795,1.7734062433242799,1.9502067565917969,39
SITE20,33,23,10,19,34,0.10000000149011612,0.699999988079071,-1.5386598110198975,3.299999952316284,4.4384684562683105,1.9058326482772827,2.164982557296753,19
SITE21,61,47,14,60,60,0.2857142984867096,0.7857142686843872,0.14303559064865112,1.7142857313156128,2.6457512378692627,1.8308313687642415,2.0299365520477295,60
SITE22,281,221,60,60,60,0.38333332538604736,0.8833333253860474,0.008368253707885742,1.0666667222976685,1.6227549314498901,1.46519216469356,1.6426655054092407,60
SITE24,37,26,11,39,54,0.1818181872367859,0.6363636255264282,0.04347825050354004,2.0,2.41209077835083,1.6464998126029968,2.0246849060058594,39
SITE25,100,76,24,19,34,0.1666666716337204,0.75,-0.025356054306030273,1.7916666269302368,2.2638463973999023,1.9720240592956544,2.1352851390838623,19
SITE26,57,41,16,60,60,0.4375,0.75,0.21111607551574707,1.625,2.6220221519470215,1.5803442398707073,1.847656488418579,60
SITE29,59,42,17,20,35,0.11764705926179886,0.3529411852359772,-1.3787314891815186,3.529411792755127,4.200839996337891,2.0646344820658364,2.3057405948638916,20
SITE30,45,32,13,33,48,0.0,0.6153846383094788,-0.32858991622924805,2.769230842590332,3.486236572265625,1.8859540224075317,2.185856342315674,33
SITE33,76,54,22,59,60,0.1818181872367859,0.5909090638160706,-0.011494278907775879,2.090909004211426,2.558408498764038,1.9153535664081573,2.06156587600708,59
SITE35,25,18,7,32,47,0.2857142984867096,0.2857142984867096,-2.028089761734009,5.4285712242126465,6.633249759674072,1.8368138074874878,1.7101285457611084,32
SITE36,29,19,10,59,60,0.30000001192092896,0.5,-1.0418004989624023,3.5999999046325684,5.039841175079346,1.9730607867240906,1.7823753356933594,59
SITE40,95,71,24,41,56,0.2916666567325592,0.6666666865348816,-0.6907045841217041,1.9583333730697632,2.653613805770874,1.8738610744476318,2.0087923407554626,41
SITE41,132,101,31,28,43,0.25806450843811035,0.6774193644523621,0.04251909255981445,1.7419354915618896,2.2288432121276855,1.9900088139942713,2.072577476501465,28
SITE42,36,24,12,58,60,0.25,0.25,-0.6521738767623901,3.3333332538604736,3.979112148284912,1.7131916880607605,1.9601705074310303,58
SITE43,73,54,19,25,40,0.10526315867900848,0.31578946113586426,-1.1111109256744385,3.0526316165924072,3.5392534732818604,1.9067458808422089,2.0621323585510254,25
SITE45,86,63,23,36,51,0.30434781312942505,0.5652173757553101,-0.5490014553070068,2.6086957454681396,3.550872564315796,1.892099678516388,2.091980218887329,36
SITE48,56,40,16,45,60,0.1875,0.5625,-0.11583924293518066,2.25,2.7156951427459717,1.9010519981384277,2.0867323875427246,45
SITE49,33,23,10,48,60,0.20000000298023224,0.800000011920929,0.09909915924072266,1.600000023841858,2.0,1.9201421737670898,2.2091329097747803,48
SITE50,32,24,8,60,60,0.375,0.375,-1.850722312927246,4.0,5.267827033996582,1.5448119640350342,1.7707109451293945,60
SITE53,53,38,15,59,60,0.2666666805744171,0.6666666865348816,0.007994234561920166,1.7999999523162842,2.4630603790283203,1.861537257830302,2.017225980758667,59
SITE58,79,58,21,23,38,0.190476194024086,0.4761904776096344,-0.6665531396865845,2.6190476417541504,3.330951452255249,2.071853905916214,2.116297125816345,23
SITE59,43,31,12,24,39,0.25,0.25,-0.9558967351913452,3.1666667461395264,3.7638633251190186,1.8855043649673462,2.0588388442993164,24
SITE65,41,28,13,43,58,0.23076923191547394,0.4615384638309479,-0.786394476890564,3.076923131942749,3.941885471343994,1.8298291563987732,2.1370925903320312,43
SITE66,36,25,11,56,60,0.27272728085517883,0.5454545617103577,-0.5604652166366577,2.3636362552642822,3.330301523208618,1.8930394649505615,2.1349689960479736,56
