--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.4286     0.5714     -0.5312    1.5714    2.2361    
SITE5        11     0.0909     0.5455     -0.2642    2.2727    2.6458    
SITE6        13     0.5385     0.9231     0.8616     0.6923    1.2710    
SITE7        31     0.4839     0.7742     -0.1212    1.5161    2.6089    
SITE8        14     0.3571     0.7143     -0.0729    1.5000    2.0874    
SITE10       16     0.2500     0.5000     -0.4008    2.3750    3.1024    
SITE11       6      0.1667     0.3333     -1.4923    3.6667    4.2426    
SITE12       16     0.3125     0.8125     0.4441     1.3125    1.8540    
SITE13       29     0.2414     0.8276     -0.1502    1.5862    2.1335    
SITE14       10     0.3000     0.8000     -0.0450    1.8000    2.6833    
SITE15       19     0.2632     0.5263     -0.4812    2.3684    3.1706    
SITE17       21     0.2857     0.4762     -0.2595    2.3333    3.0316    
SITE18       20     0.4500     0.8000     0.5251     1.2000    1.7607    
SITE19       44     0.3864     0.8409     0.1362     1.2273    1.9656    
SITE20       10     0.3000     0.8000     -0.3015    1.9000    3.1780    
SITE21       14     0.4286     0.9286     0.8076     0.8571    1.2536    
SITE22       60     0.5333     0.8833     0.2531     0.8500    1.4083    
SITE24       11     0.2727     0.5455     -0.4946    2.3636    3.0151    
SITE25       24     0.1250     0.5417     -0.3505    2.2500    2.5981    
SITE26       16     0.5625     0.8750     0.7418     0.8750    1.5000    
SITE29       17     0.2941     0.6471     0.1754     1.7647    2.4734    
SITE30       13     0.2308     0.5385     -0.3370    2.5385    3.4973    
SITE33       22     0.3636     0.7273     0.1711     1.5455    2.3160    
SITE35       7      0.7143     0.8571     0.8722     0.7143    1.3628    
SITE36       10     0.5000     0.8000     0.3730     1.6000    2.7928    
SITE40       24     0.1667     0.6250     -0.6207    2.1667    2.5981    
SITE41       31     0.5161     0.8065     0.4653     1.0323    1.6656    
SITE42       12     0.5000     0.8333     0.5304     1.3333    2.1213    
SITE43       19     0.2632     0.5789     -1.1022    2.5789    3.5318    
SITE45       23     0.4783     0.8261     0.6154     1.1304    1.7693    
