site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,17,32,0.4285714328289032,0.5714285969734192,-0.53125,1.5714285373687744,2.2360680103302,1.5178365111351013,2.087284803390503,17
SITE5,40,29,11,14,29,0.09090909361839294,0.5454545617103577,-0.2641791105270386,2.2727272510528564,2.6457512378692627,1.623917818069458,1.9411647319793701,14
SITE6,47,34,13,9,24,0.5384615659713745,0.9230769276618958,0.8615618646144867,0.692307710647583,1.2709778547286987,1.1669997771581013,1.6040304899215698,9
SITE7,129,98,31,34,49,0.4838709533214569,0.774193525314331,-0.12118613719940186,1.5161290168762207,2.608917713165283,1.3743575981685094,1.7512014508247375,34
SITE8,57,43,14,12,27,0.3571428656578064,0.7142857313156128,-0.07286441326141357,1.5,2.0873770713806152,1.5715357859929402,1.7724977731704712,12
SITE10,58,42,16,60,60,0.25,0.5,-0.40079593658447266,2.375,3.1024184226989746,1.1226636171340942,1.6867706775665283,60
SITE11,27,21,6,5,20,0.1666666716337204,0.3333333432674408,-1.4923076629638672,3.6666667461395264,4.242640495300293,1.6794026494026184,2.0930936336517334,5
SITE12,60,44,16,6,21,0.3125,0.8125,0.4440934658050537,1.3125,1.854049563407898,1.5249135494232178,1.5745301246643066,6
SITE13,133,104,29,28,43,0.24137930572032928,0.8275862336158752,-0.15024042129516602,1.5862069129943848,2.133476972579956,1.3365236691066198,1.8539655208587646,28
SITE14,34,24,10,6,21,0.30000001192092896,0.800000011920929,-0.044992804527282715,1.7999999523162842,2.683281421661377,1.6756746768951416,2.119337797164917,6
SITE15,74,55,19,28,43,0.2631579041481018,0.5263158082962036,-0.4812244176864624,2.3684210777282715,3.170588493347168,1.5066053569316864,1.8364958763122559,28
SITE17,77,56,21,9,24,0.2857142984867096,0.4761904776096344,-0.2594778537750244,2.3333332538604736,3.0315799713134766,1.6114888489246368,1.9595995545387268,9
SITE18,82,62,20,20,35,0.44999998807907104,0.800000011920929,0.5250861942768097,1.2000000476837158,1.7606816291809082,0.9507367014884949,1.7979036569595337,20
SITE19,198,154,44,9,24,0.3863636255264282,0.8409090638160706,0.13615894317626953,1.2272727489471436,1.9656134843826294,1.489431655406952,1.6291463772455852,9
SITE20,33,23,10,18,33,0.30000001192092896,0.800000011920929,-0.30154645442962646,1.899999976158142,3.1780498027801514,1.2535949349403381,1.7820996046066284,18
SITE21,61,47,14,7,22,0.4285714328289032,0.9285714030265808,0.8076202273368835,0.8571428656578064,1.2535663843154907,1.5498321453730266,1.3827617168426514,7
SITE22,281,221,60,7,22,0.5333333611488342,0.8833333253860474,0.25313812494277954,0.8500000238418579,1.4083086252212524,1.2060094475746155,1.199437290430069,7
SITE24,37,26,11,7,22,0.27272728085517883,0.5454545617103577,-0.4945652484893799,2.3636362552642822,3.015113353729248,1.4292194843292236,2.1135318279266357,7
SITE25,100,76,24,3,18,0.125,0.5416666865348816,-0.35046887397766113,2.25,2.598076105117798,1.8052761793136596,1.9784184694290161,3
SITE26,57,41,16,36,51,0.5625,0.875,0.7418197989463806,0.875,1.5,0.8331606189409891,1.2359644174575806,36
SITE29,59,42,17,1,16,0.29411765933036804,0.6470588445663452,0.1753731369972229,1.7647058963775635,2.4733877182006836,2.105393330256144,1.9625099301338196,1
SITE30,45,32,13,1,16,0.23076923191547394,0.5384615659713745,-0.33699870109558105,2.538461446762085,3.4972517490386963,1.8750340938568115,1.927623987197876,1
SITE33,76,54,22,19,34,0.3636363744735718,0.7272727489471436,0.17113661766052246,1.545454502105713,2.3159525394439697,1.5241503417491913,1.6377798318862915,19
SITE35,25,18,7,47,60,0.7142857313156128,0.8571428656578064,0.8721910119056702,0.7142857313156128,1.3627703189849854,0.6116415411233902,0.6828659176826477,47
SITE36,29,19,10,60,60,0.5,0.800000011920929,0.37299036979675293,1.600000023841858,2.7928481101989746,0.8130254149436951,1.5748541355133057,60
SITE40,95,71,24,1,16,0.1666666716337204,0.625,-0.6206753253936768,2.1666667461395264,2.598076105117798,1.9942989349365234,1.9508402347564697,1
SITE41,132,101,31,59,60,0.5161290168762207,0.8064516186714172,0.46530288457870483,1.0322580337524414,1.6655910015106201,1.4076381070273263,1.4749361276626587,59
SITE42,36,24,12,33,48,0.5,0.8333333134651184,0.530434787273407,1.3333333730697632,2.1213202476501465,0.6559353768825531,1.2735538482666016,33
SITE43,73,54,19,35,50,0.2631579041481018,0.5789473652839661,-1.102240800857544,2.5789473056793213,3.5318102836608887,1.4607187807559967,1.6948221325874329,35
SITE45,86,63,23,18,33,0.47826087474823,0.8260869383811951,0.6154203116893768,1.1304347515106201,1.7693034410476685,1.514036774635315,1.5954007506370544,18
SITE48,56,40,16,48,60,0.375,0.75,0.03546100854873657,1.625,2.524876117706299,1.1007731358210247,1.6284995079040527,48
SITE49,33,23,10,37,52,0.4000000059604645,0.699999988079071,0.09909915924072266,1.399999976158142,2.0,1.5989697575569153,1.7250419855117798,37
SITE50,32,24,8,60,60,0.75,1.0,0.9357945397496223,0.375,0.7905694246292114,0.8711607456207275,0.8288754820823669,60
SITE53,53,38,15,19,34,0.3333333432674408,0.7333333492279053,0.22601747512817383,1.5333333015441895,2.1756224632263184,1.4904227654139202,1.904459834098816,19
SITE58,79,58,21,1,16,0.3333333432674408,0.8095238208770752,0.0916212797164917,1.6666666269302368,2.459190607070923,2.2492300868034363,1.9234567284584045,1
SITE59,43,31,12,37,52,0.1666666716337204,0.5833333134651184,-0.38063299655914307,2.3333332538604736,3.1622776985168457,1.0813595056533813,1.792860746383667,37
SITE65,41,28,13,12,27,0.23076923191547394,0.5384615659713745,-0.4857141971588135,2.769230842590332,3.5948681831359863,1.3129878044128418,2.1648011207580566,12
SITE66,36,25,11,3,18,0.09090909361839294,0.3636363744735718,-2.7860465049743652,4.181818008422852,5.187397003173828,1.6804959774017334,2.3824098110198975,3
SITE73,71,53,18,12,27,0.2777777910232544,0.9444444179534912,0.7167927324771881,1.2222222089767456,1.6996731758117676,1.4841111302375793,1.5783857107162476,12
SITE75,48,35,13,45,60,0.4615384638309479,0.6153846383094788,0.23529404401779175,1.5384615659713745,2.2188007831573486,1.2631035248438518,1.2844719886779785,45
SITE76,26,19,7,60,60,0.1428571492433548,0.4285714328289032,-0.7214983701705933,3.857142925262451,4.644505023956299,0.7450866103172302,2.0645947456359863,60
SITE78,36,25,11,45,60,0.4545454680919647,0.9090909361839294,0.8467213213443756,0.8181818127632141,1.2431631088256836,0.9027206003665924,1.3129709959030151,45
SITE80,26,20,6,42,57,0.6666666865348816,0.8333333134651184,0.7863013744354248,0.8333333134651184,1.471960186958313,0.9613062143325806,0.7947890162467957,42
SITE81,36,26,10,57,60,0.5,0.800000011920929,0.421813428401947,1.399999976158142,2.0976176261901855,0.7271789908409119,1.237816333770752,57
SITE84,61,45,16,3,18,0.3125,0.8125,0.1355932354927063,1.3125,1.785357117652893,1.8462116320927937,1.6999680995941162,3
SITE86,34,24,10,10,25,0.30000001192092896,0.699999988079071,-0.22807002067565918,2.0,2.898275375366211,1.6751569509506226,1.994057297706604,10
SITE94,81,60,21,5,20,0.3333333432674408,0.6190476417541504,-0.24488353729248047,2.0,2.8284270763397217,1.6926178932189941,1.6098493337631226,5
SITE95,23,17,6,6,21,0.6666666865348816,0.8333333134651184,0.8663697093725204,0.6666666865348816,1.29099440574646,1.0020142197608948,1.0999054908752441,6
SITE96,21,15,6,60,60,0.8333333134651184,0.8333333134651184,0.8181818127632141,0.5,1.2247449159622192,0.32226094603538513,0.5778931975364685,60
SITE97,25,18,7,33,48,0.8571428656578064,0.8571428656578064,0.6137387156486511,1.0,2.6457512378692627,0.2638898938894272,0.6790211796760559,33
SITE98,78,58,20,1,16,0.15000000596046448,0.800000011920929,0.17997092008590698,1.850000023841858,2.3769729137420654,2.069636195898056,1.9714587926864624,1
SITE104,48,36,12,9,24,0.4166666567325592,0.75,-0.2661416530609131,1.5833333730697632,2.362907886505127,1.4185075362523396,1.643911361694336,9
SITE106,52,38,14,50,60,0.2142857164144516,0.6428571343421936,-0.020833373069763184,2.0,2.8284270763397217,1.1226098934809368,1.535357117652893,50
SITE111,55,40,15,10,25,0.3333333432674408,0.5333333611488342,-0.27626049518585205,2.4000000953674316,3.2863354682922363,1.56604007879893,1.8291276693344116,10
SITE115,67,50,17,2,17,0.3529411852359772,0.7647058963775635,0.2879108786582947,1.470588207244873,2.1557037830352783,1.851808786392212,2.011037766933441,2
SITE116,55,41,14,15,30,0.5,0.9285714030265808,0.8004073351621628,0.7857142686843872,1.2247449159622192,1.3324220180511475,1.5811164379119873,15
SITE117,105,81,24,15,30,0.2916666567325592,0.7083333134651184,-0.3815007209777832,1.7916666269302368,2.457980155944824,1.6899494131406148,1.8431633114814758,15
SITE119,41,29,12,22,37,0.0833333358168602,0.6666666865348816,0.04123711585998535,2.4166667461395264,2.7838821411132812,1.4323752522468567,1.7545442581176758,22
SITE125,27,19,8,15,30,0.375,0.625,-0.5616942644119263,2.5,3.640054941177368,1.7068014740943909,2.206815242767334,15
SITE127,60,44,16,8,23,0.25,0.625,-0.07500004768371582,1.875,2.3184046745300293,1.8652524948120117,2.009535312652588,8
SITE128,71,53,18,23,38,0.2222222238779068,0.5555555820465088,-1.1001379489898682,2.6666667461395264,3.7564759254455566,1.476841926574707,1.3987876176834106,23
SITE129,59,44,15,27,42,0.3333333432674408,0.6000000238418579,-0.23184359073638916,2.3333332538604736,3.130495309829712,1.5000847180684407,1.8619431257247925,27
SITE132,34,26,8,46,60,0.375,0.75,-0.14917123317718506,2.0,3.1224989891052246,0.9092693328857422,1.6145282983779907,46
SITE134,26,17,9,60,60,0.4444444477558136,0.5555555820465088,-0.8152542114257812,2.3333332538604736,3.636237382888794,1.3933775424957275,2.072319984436035,60
SITE156,72,55,17,13,28,0.4117647111415863,0.8823529481887817,0.6371951699256897,1.058823585510254,1.5718104839324951,1.596903771162033,1.7477025985717773,13
SITE160,34,24,10,4,19,0.6000000238418579,0.800000011920929,-0.05950653553009033,1.5,2.7018513679504395,1.7889957427978516,1.488693356513977,4
SITE161,56,42,14,24,39,0.3571428656578064,0.6428571343421936,0.32187509536743164,1.5714285373687744,2.104417085647583,1.1422851085662842,1.5295308828353882,24
SITE165,31,24,7,16,31,0.1428571492433548,0.5714285969734192,0.1297297477722168,2.2857143878936768,2.5634799003601074,1.7898478507995605,1.6714365482330322,16
SITE167,38,27,11,6,21,0.27272728085517883,0.7272727489471436,-0.3639998435974121,1.9090908765792847,2.907670021057129,1.5244320034980774,1.681431531906128,6
SITE168,39,29,10,26,41,0.4000000059604645,0.8999999761581421,0.3756503462791443,1.399999976158142,2.4494898319244385,0.9641084671020508,1.4044266939163208,26
SITE169,53,39,14,38,53,0.4285714328289032,0.6428571343421936,0.13344043493270874,1.6428571939468384,2.345207929611206,1.3167471289634705,1.7336506843566895,38
SITE171,48,34,14,4,19,0.4285714328289032,0.6428571343421936,-0.677316427230835,2.0,3.273268461227417,1.8157933155695598,1.7939157485961914,4
SITE178,41,29,12,12,27,0.25,0.75,0.17021280527114868,1.6666666269302368,2.0816659927368164,1.7414689660072327,2.0248160362243652,12
SITE179,109,82,27,23,38,0.2222222238779068,0.6666666865348816,-0.3637688159942627,2.1481480598449707,2.775554656982422,1.7557677427927654,1.9178008437156677,23
SITE186,78,59,19,18,33,0.31578946113586426,0.5789473652839661,-0.1380833387374878,2.3157894611358643,3.1622776985168457,1.5066271424293518,1.806869387626648,18
SITE193,55,40,15,17,32,0.5333333611488342,0.7333333492279053,0.027138829231262207,1.7999999523162842,3.06594181060791,1.4407679239908855,1.9104801416397095,17
SITE194,80,62,18,16,31,0.2777777910232544,0.7222222089767456,-0.5828489065170288,1.9444444179534912,2.5927248001098633,1.5264720618724823,1.4209290146827698,16
SITE198,56,42,14,15,30,0.5714285969734192,0.7857142686843872,-0.4344261884689331,1.4285714626312256,2.672612428665161,1.4327799479166667,1.7295221090316772,15
SITE203,143,110,33,18,33,0.3333333432674408,0.8484848737716675,0.4785457253456116,1.303030252456665,1.9306145906448364,1.3174721343176705,1.0636723910768826,18
SITE205,89,65,24,16,31,0.2916666567325592,0.875,0.4796926975250244,1.375,1.8142950534820557,1.8369646072387695,1.8964449167251587,16
SITE207,46,34,12,36,51,0.4166666567325592,0.8333333134651184,0.005405426025390625,1.1666666269302368,1.9578900337219238,1.3620787858963013,1.6715463399887085,36
SITE208,52,39,13,36,51,0.38461539149284363,0.7692307829856873,0.4132581353187561,1.5384615659713745,2.2188007831573486,1.246285319328308,1.5781018733978271,36
SITE209,25,17,8,60,60,0.375,0.5,-0.07645261287689209,1.75,2.345207929611206,0.9800301790237427,1.7333683967590332,60
SITE212,27,18,9,60,60,0.3333333432674408,0.4444444477558136,-0.892225980758667,2.777777671813965,3.636237382888794,0.7275490760803223,1.9657273292541504,60
SITE215,143,110,33,13,28,0.5151515007019043,0.7575757503509521,0.34815800189971924,1.3636363744735718,2.2224748134613037,1.2849573067256383,1.3921505610148113,13
SITE217,60,44,16,28,43,0.375,0.6875,-0.10185182094573975,1.8125,2.7271780967712402,1.3488620122273762,1.6205012798309326,28
SITE219,60,45,15,25,40,0.46666666865348816,0.6666666865348816,0.17517012357711792,1.6666666269302368,2.542964220046997,1.0158027410507202,1.4015271663665771,25
SITE229,51,37,14,19,34,0.3571428656578064,0.6428571343421936,0.02577310800552368,1.8571428060531616,2.7774603366851807,1.5040311813354492,2.2078702449798584,19
SITE230,35,24,11,24,39,0.3636363744735718,0.5454545617103577,-0.43819332122802734,2.6363637447357178,3.872983455657959,1.0357166528701782,1.6374620199203491,24
SITE231,29,22,7,11,26,0.4285714328289032,0.5714285969734192,0.05405402183532715,2.0,2.9277002811431885,1.4920316338539124,1.7149096727371216,11
SITE234,41,30,11,12,27,0.1818181872367859,0.7272727489471436,-0.34574460983276367,1.6363636255264282,2.0449492931365967,1.4722599983215332,2.0264275074005127,12
SITE239,56,41,15,24,39,0.46666666865348816,0.800000011920929,0.10833334922790527,1.6666666269302368,2.670830011367798,1.1720551649729412,1.4860706329345703,24
SITE240,51,37,14,13,28,0.3571428656578064,0.6428571343421936,0.23401451110839844,1.6428571939468384,2.434865713119507,1.2977906465530396,1.9018914699554443,13
SITE241,103,78,25,12,27,0.36000001430511475,0.6800000071525574,0.10195189714431763,1.7999999523162842,2.630589246749878,1.445948052406311,1.4730449318885803,12
SITE244,42,30,12,14,29,0.1666666716337204,0.5833333134651184,0.523431271314621,1.6666666269302368,2.041241407394409,1.2898534536361694,1.703601598739624,14
SITE245,50,35,15,18,33,0.4000000059604645,0.800000011920929,0.20524686574935913,1.6666666269302368,2.6204326152801514,1.4140371084213257,1.6905994415283203,18
SITE251,43,32,11,59,60,0.27272728085517883,0.7272727489471436,0.3903002142906189,1.6363636255264282,2.0889317989349365,0.991703599691391,1.4369767904281616,59
