site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,28,21,7,60,60,0.2857142984867096,0.5714285969734192,-1.40625,2.142857074737549,2.8030595779418945,1.8111595511436462,1.9931188821792603,60
SITE5,40,29,11,60,60,0.1818181872367859,0.5454545617103577,-0.658208966255188,2.454545497894287,3.0301513671875,2.0338977575302124,2.1026711463928223,60
SITE6,47,34,13,16,31,0.23076923191547394,0.5384615659713745,-0.8524340391159058,3.461538553237915,4.649234771728516,1.9785451889038086,2.1058058738708496,16
SITE7,129,98,31,11,26,0.25806450843811035,0.6451612710952759,-0.004285216331481934,1.9032257795333862,2.4691646099090576,2.109884636742728,2.102417230606079,11
SITE8,57,43,14,34,49,0.2142857164144516,0.6428571343421936,-0.7236181497573853,2.0,2.6457512378692627,2.0310643911361694,2.026608467102051,34
SITE10,58,42,16,13,28,0.1875,0.5625,-0.02785670757293701,2.1875,2.657536506652832,2.089425484339396,2.153122663497925,13
SITE11,27,21,6,60,60,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,1.8958964943885803,1.7644734382629395,60
SITE12,60,44,16,60,60,0.25,0.6875,0.039797842502593994,1.8125,2.4366986751556396,1.9832386175791423,2.042638063430786,60
SITE13,133,104,29,60,60,0.27586206793785095,0.7931034564971924,-0.15895426273345947,1.6206896305084229,2.14154314994812,1.9005145686013358,1.9433334469795227,60
SITE14,34,24,10,60,60,0.20000000298023224,0.6000000238418579,-0.640058159828186,2.5,3.3615472316741943,1.9295631647109985,2.068990468978882,60
SITE15,74,55,19,17,32,0.15789473056793213,0.6315789222717285,-0.16326522827148438,2.3157894611358643,2.8097574710845947,2.1390408873558044,2.062607765197754,17
SITE17,77,56,21,11,26,0.190476194024086,0.3333333432674408,-1.9888129234313965,3.809523820877075,4.670066833496094,2.12049263715744,2.180217146873474,11
SITE18,82,62,20,8,23,0.30000001192092896,0.550000011920929,-0.7081577777862549,2.450000047683716,3.3391613960266113,1.9123603999614716,1.9484719634056091,8
SITE19,198,154,44,60,60,0.25,0.75,-0.016283631324768066,1.5909091234207153,2.132007122039795,1.9041424036026,2.0180113315582275,60
SITE20,33,23,10,60,60,0.20000000298023224,0.5,-0.0824742317199707,2.4000000953674316,2.898275375366211,1.945270597934723,2.01680064201355,60
SITE21,61,47,14,60,60,0.2142857164144516,0.6428571343421936,-0.6002498865127563,2.5,3.615442991256714,1.981461803118388,1.9554086923599243,60
SITE22,281,221,60,60,60,0.4000000059604645,0.8666666746139526,-0.14853549003601074,1.1166666746139526,1.746424913406372,1.5278772626604353,1.5542300641536713,60
SITE24,37,26,11,15,30,0.27272728085517883,0.6363636255264282,-0.13586962223052979,2.0,2.6285150051116943,1.7852001786231995,2.0156497955322266,15
