--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.1429     0.5714     -1.7562    2.4286    3.0000    
SITE5        11     0.0000     0.3636     -2.6284    3.7273    4.4823    
SITE6        13     0.1538     0.3077     -0.2525    3.2308    3.8230    
SITE7        31     0.1613     0.3871     -1.4868    3.0323    3.8855    
SITE8        14     0.0000     0.5000     -1.5327    2.8571    3.2071    
SITE10       16     0.0625     0.5625     -0.9738    3.0625    3.6827    
SITE11       6      0.1667     0.5000     -0.6846    2.8333    3.4881    
SITE12       16     0.1875     0.5000     -0.6071    2.5625    3.1524    
SITE13       29     0.2759     0.6552     -0.8561    2.0345    2.7101    
SITE14       10     0.2000     0.5000     -0.9884    2.9000    3.7014    
SITE15       19     0.0526     0.3684     -1.1094    3.3684    3.7836    
SITE17       21     0.1429     0.5714     -0.4553    2.6190    3.2587    
SITE18       20     0.2000     0.4500     -1.2444    3.1500    3.8275    
SITE19       44     0.2500     0.7273     -0.0417    1.6136    2.1585    
SITE20       10     0.2000     0.7000     -0.2500    2.3000    3.1145    
SITE21       14     0.1429     0.7857     -0.4603    2.3571    3.4538    
SITE22       60     0.3500     0.8833     -0.0418    1.1333    1.6633    
SITE24       11     0.2727     0.7273     -0.1060    2.0000    2.5937    
SITE25       24     0.2083     0.6667     -0.0420    1.7917    2.2822    
SITE26       16     0.2500     0.6250     -0.2909    2.3750    3.3541    
SITE29       17     0.1176     0.5882     -0.4986    2.6471    3.3343    
SITE30       13     0.1538     0.3846     -0.0511    2.6923    3.1009    
SITE33       22     0.1818     0.4091     -2.2593    3.5455    4.5925    
SITE35       7      0.0000     0.1429     -0.1306    3.8571    4.0532    
SITE36       10     0.2000     0.5000     -1.0740    3.8000    5.0794    
SITE40       24     0.0000     0.1667     -5.4927    4.7917    5.2002    
SITE41       31     0.1935     0.5806     -0.4238    2.0968    2.7179    
SITE42       12     0.0833     0.4167     0.1130     2.5000    2.9155    
SITE43       19     0.1579     0.3684     -2.0957    3.5263    4.2858    
