--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        5      0.2000     1.0000     0.2778     1.4000    1.6125    
SITE5        11     0.4545     0.8182     0.2776     1.2727    2.0000    
SITE6        12     0.5000     0.8333     0.5881     1.1667    2.0817    
SITE7        29     0.3793     0.7931     -0.2257    1.7241    2.7038    
SITE8        11     0.3636     0.9091     -0.1000    1.1818    1.6787    
SITE10       14     0.2143     0.6429     0.0660     2.0000    2.5355    
SITE11       6      0.3333     0.5000     -0.6615    2.6667    3.4641    
SITE12       15     0.6667     0.8000     0.4388     1.0000    1.9149    
SITE13       26     0.2692     0.6923     -0.4391    1.8077    2.3939    
SITE14       9      0.1111     0.5556     -0.6403    2.7778    3.5434    
SITE15       16     0.3750     0.6250     -0.1366    1.9375    2.7042    
SITE17       16     0.5625     0.7500     0.2243     1.3125    2.2776    
SITE18       18     0.5000     0.8333     0.6883     0.9444    1.4720    
SITE19       34     0.2059     0.8529     0.0361     1.4706    1.8787    
SITE20       10     0.3000     0.7000     -0.4948    2.2000    3.4059    
SITE21       13     0.6154     0.6923     0.3510     1.3077    2.2702    
SITE22       52     0.4808     0.9423     0.3669     0.8654    1.3516    
SITE24       9      0.3333     0.6667     0.1552     1.7778    2.4037    
SITE25       23     0.2609     0.7826     0.2697     1.4348    1.8997    
SITE26       13     0.3077     0.8462     0.6338     1.3846    1.7541    
SITE29       16     0.3750     0.5625     0.0924     1.8750    2.5981    
SITE30       12     0.4167     0.5833     0.1868     1.6667    2.4833    
SITE33       16     0.4375     0.7500     -0.0056    1.5625    2.5125    
SITE35       6      0.6667     0.6667     -0.0990    2.0000    3.5119    
SITE36       8      0.6250     0.7500     0.2830     1.7500    3.0822    
SITE40       20     0.1500     0.7000     -0.4784    1.9500    2.4799    
SITE41       28     0.3929     0.7143     0.3559     1.2857    1.8898    
SITE42       9      0.4444     0.6667     -0.1922    2.2222    3.3665    
SITE43       15     0.1333     0.5333     -1.1571    2.8667    3.6056    
SITE45       19     0.2632     0.5789     0.2299     2.0000    2.5340    
SITE48       15     0.5333     0.8667     0.3103     1.2000    2.1909    
SITE49       10     0.2000     0.7000     -0.0811    1.8000    2.1909    
SITE50       6      0.6667     1.0000     0.9194     0.5000    0.9129    
SITE53       13     0.3077     0.6923     0.0867     1.7692    2.4337    
SITE58       20     0.2000     0.6500     -0.1175    2.0500    2.6926    
