site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,20,15,5,12,27,0.20000000298023224,1.0,0.2777777910232544,1.399999976158142,1.6124515533447266,1.4413405656814575,1.6688053607940674,12
SITE5,37,26,11,18,33,0.4545454680919647,0.8181818127632141,0.27761197090148926,1.2727272510528564,2.0,1.4975629448890686,1.4884439706802368,18
SITE6,38,26,12,13,28,0.5,0.8333333134651184,0.5881188213825226,1.1666666269302368,2.0816659927368164,1.2354653477668762,1.5222419500350952,13
SITE7,113,84,29,9,24,0.37931033968925476,0.7931034564971924,-0.2256777286529541,1.7241379022598267,2.7037649154663086,1.7874684532483418,1.6483184099197388,9
SITE8,42,31,11,9,24,0.3636363744735718,0.9090909361839294,-0.09999990463256836,1.1818181276321411,1.6787440776824951,1.6038501858711243,1.857475996017456,9
SITE10,53,39,14,12,27,0.2142857164144516,0.6428571343421936,0.06597477197647095,2.0,2.5354626178741455,1.4573876857757568,1.975333571434021,12
SITE11,26,20,6,27,42,0.3333333432674408,0.5,-0.6615384817123413,2.6666667461395264,3.464101552963257,0.5672969669103622,1.4825104475021362,27
SITE12,53,38,15,11,26,0.6666666865348816,0.800000011920929,0.43877553939819336,1.0,1.9148542881011963,1.2275070746739705,1.6252427101135254,11
SITE13,118,92,26,5,20,0.26923078298568726,0.692307710647583,-0.439078688621521,1.807692289352417,2.393902540206909,1.5752347111701965,1.9372963309288025,5
SITE14,30,21,9,6,21,0.1111111119389534,0.5555555820465088,-0.6403224468231201,2.777777671813965,3.543381929397583,1.721305012702942,1.8103052377700806,6
SITE15,57,41,16,2,17,0.375,0.625,-0.13661205768585205,1.9375,2.7041635513305664,1.9938642581303914,1.8640553951263428,2
SITE17,63,47,16,20,35,0.5625,0.75,0.22429907321929932,1.3125,2.2776083946228027,1.2368332544962566,1.4926066398620605,20
SITE18,72,54,18,22,37,0.5,0.8333333134651184,0.6882770955562592,0.9444444179534912,1.471960186958313,0.8448212444782257,1.0739627480506897,22
SITE19,160,126,34,13,28,0.20588235557079315,0.8529411554336548,0.03614455461502075,1.470588207244873,1.8786728382110596,1.227633535861969,1.6395368178685505,13
SITE20,31,21,10,19,34,0.30000001192092896,0.699999988079071,-0.4948453903198242,2.200000047683716,3.4058773517608643,0.9473326206207275,1.6736172437667847,19
SITE21,52,39,13,22,37,0.6153846383094788,0.692307710647583,0.3509686589241028,1.307692289352417,2.2702083587646484,1.0937593380610149,1.4315239191055298,22
SITE22,240,188,52,13,28,0.48076921701431274,0.942307710647583,0.36691009998321533,0.8653846383094788,1.3516372442245483,1.0410276850064595,1.2722970843315125,13
SITE24,30,21,9,10,25,0.3333333432674408,0.6666666865348816,0.15523463487625122,1.7777777910232544,2.403700828552246,1.1586018800735474,1.88653564453125,10
SITE25,89,66,23,2,17,0.260869562625885,0.782608687877655,0.26970160007476807,1.43478262424469,1.8996567726135254,1.6736655950546264,1.7408896088600159,2
SITE26,47,34,13,20,35,0.3076923191547394,0.8461538553237915,0.6338028311729431,1.384615421295166,1.7541160583496094,0.8477634290854136,1.6667479276657104,20
SITE29,55,39,16,4,19,0.375,0.5625,0.09243696928024292,1.875,2.598076105117798,1.7893331050872803,1.944725751876831,4
SITE30,42,30,12,6,21,0.4166666567325592,0.5833333134651184,0.18681317567825317,1.6666666269302368,2.4832773208618164,1.5659589171409607,1.4881911277770996,6
SITE33,65,49,16,13,28,0.4375,0.75,-0.005600452423095703,1.5625,2.5124688148498535,1.5446332693099976,1.6375821828842163,13
SITE35,22,16,6,19,34,0.6666666865348816,0.6666666865348816,-0.09900999069213867,2.0,3.5118844509124756,0.5501049757003784,1.4785163402557373,19
SITE36,24,16,8,54,60,0.625,0.75,0.28301888704299927,1.75,3.082206964492798,0.6562105417251587,0.9949342608451843,54
SITE40,81,61,20,23,38,0.15000000596046448,0.699999988079071,-0.478365421295166,1.9500000476837158,2.47991943359375,1.2306692451238632,1.8049833178520203,23
SITE41,116,88,28,38,53,0.3928571343421936,0.7142857313156128,0.3558776378631592,1.2857142686843872,1.8898223638534546,1.1515748898188274,1.597037672996521,38
