--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        5      0.6000     0.8000     -0.4444    1.2000    2.2804    
SITE5        11     0.1818     0.7273     0.0806     1.8182    2.2563    
SITE6        12     0.4167     0.8333     0.5564     1.3333    2.1602    
SITE7        29     0.4138     0.7931     0.1270     1.4138    2.2819    
SITE8        11     0.3636     0.9091     -0.1000    1.1818    1.6787    
SITE10       14     0.2857     0.7143     0.2528     1.7143    2.2678    
SITE11       6      0.3333     0.5000     -0.6615    2.6667    3.4641    
SITE12       15     0.4000     0.8000     0.4592     1.2667    1.8797    
SITE13       26     0.2692     0.8077     -0.0914    1.5769    2.0847    
SITE14       9      0.3333     0.4444     -0.6403    2.5556    3.5434    
SITE15       16     0.2500     0.6875     -0.0686    2.0000    2.6220    
SITE17       16     0.2500     0.6250     -0.0654    2.0000    2.6693    
SITE18       18     0.5000     0.7778     0.6483     1.0000    1.5635    
SITE19       34     0.2941     0.8824     0.3494     1.1471    1.5435    
SITE20       10     0.4000     0.8000     -0.3273    1.9000    3.2094    
SITE21       13     0.4615     0.6923     0.5931     1.2308    1.7974    
SITE22       52     0.5577     0.9423     0.5002     0.7115    1.2010    
SITE24       9      0.3333     0.7778     0.1065     1.6667    2.4721    
SITE25       23     0.2609     0.7391     0.2609     1.4783    1.9111    
SITE26       13     0.4615     0.8462     0.7345     1.0000    1.4936    
SITE29       16     0.4375     0.6250     0.1176     1.8125    2.5617    
SITE30       12     0.4167     0.7500     0.6264     1.1667    1.6833    
SITE33       16     0.3125     0.7500     -0.0554    1.7500    2.5739    
SITE35       6      0.3333     0.3333     -2.5050    5.0000    6.2716    
SITE36       8      0.6250     1.0000     0.9434     0.5000    0.8660    
SITE40       20     0.2000     0.7000     -0.6346    2.0000    2.6077    
SITE41       28     0.3571     0.7857     0.2077     1.3929    2.0959    
SITE42       9      0.5556     0.8889     0.7545     1.0000    1.5275    
SITE43       15     0.2000     0.4000     -1.7434    3.2000    4.0661    
SITE45       19     0.2632     0.5263     0.0658     2.2105    2.7910    
SITE48       15     0.4000     0.8000     0.1762     1.4667    2.3944    
SITE49       10     0.4000     0.8000     0.2793     1.2000    1.7889    
SITE50       6      0.6667     1.0000     0.9194     0.5000    0.9129    
SITE53       13     0.4615     0.7692     0.5137     1.1538    1.7759    
SITE58       20     0.3000     0.6000     0.0289     1.9000    2.5100    
SITE59       9      0.2222     0.6667     0.0976     2.0000    2.8674    
SITE65       12     0.2500     0.6667     -0.0382    2.2500    3.0414    
SITE66       11     0.1818     0.3636     -1.8907    3.4545    4.5327    
SITE73       16     0.4375     0.7500     0.3714     1.6250    2.5495    
SITE75       11     0.3636     0.5455     0.1361     1.9091    2.5406    
SITE76       7      0.4286     0.7143     0.2476     2.0000    3.0706    
SITE78       10     0.4000     0.8000     0.2460     1.6000    2.8284    
SITE80       6      0.6667     0.8333     0.7863     0.8333    1.4720    
SITE81       9      0.3333     0.7778     0.4476     1.6667    2.1344    
SITE84       14     0.4286     0.7857     0.0948     1.2143    1.7928    
SITE86       10     0.2000     0.7000     -0.2865    2.2000    2.9665    
SITE94       17     0.1765     0.4118     -1.5118    3.2353    4.1231    
SITE97       6      0.8333     0.8333     0.5413     1.1667    2.8577    
SITE98       19     0.2632     0.8947     0.3323     1.4737    2.2005    
SITE104      11     0.3636     0.7273     -0.4395    1.7273    2.4680    
SITE106      12     0.1667     0.6667     0.1993     1.9167    2.5658    
SITE111      11     0.5455     0.7273     0.1248     1.6364    2.8284    
SITE115      16     0.3125     0.6875     -0.1628    1.9375    2.8395    
SITE116      13     0.4615     0.6923     0.2587     1.4615    2.3038    
SITE117      21     0.3810     0.7619     -0.1322    1.4762    2.3197    
SITE119      10     0.3000     0.6000     -0.2271    2.3000    2.9496    
SITE127      12     0.1667     0.5833     0.0876     1.9167    2.2174    
SITE128      14     0.1429     0.7143     -0.9278    2.5000    3.6154    
SITE129      14     0.2143     0.5714     -0.1905    2.3571    3.0822    
SITE132      8      0.5000     0.7500     -0.1344    1.8750    3.1024    
SITE134      8      0.5000     0.6250     -0.6794    2.2500    3.7081    
SITE156      12     0.4167     0.6667     0.0476     1.5833    2.3274    
SITE160      9      0.3333     0.6667     -0.2791    2.1111    3.0368    
SITE161      12     0.4167     0.7500     0.4938     1.3333    1.9149    
SITE165      7      0.2857     0.7143     0.3568     1.7143    2.2039    
SITE167      10     0.4000     0.8000     0.0015     1.6000    2.6077    
SITE168      9      0.4444     0.8889     0.7201     1.1111    1.6997    
SITE169      13     0.4615     0.6154     -0.5259    2.0769    3.1256    
SITE171      10     0.3000     0.6000     -0.2614    2.3000    3.1145    
SITE178      9      0.3333     0.5556     -0.5871    2.3333    3.0732    
SITE179      21     0.3333     0.6667     -0.2797    1.9524    2.7689    
SITE186      17     0.4118     0.6471     0.0702     1.8824    2.8076    
SITE193      12     0.4167     0.7500     0.0229     1.8333    2.8284    
SITE194      15     0.2000     0.7333     -0.1629    1.8000    2.1448    
SITE198      14     0.5000     1.0000     0.7705     0.7143    1.0690    
SITE203      28     0.4286     0.8571     0.6364     1.1429    1.6475    
SITE205      20     0.1500     0.6000     -0.7341    2.5500    3.3541    
SITE207      11     0.3636     0.8182     0.0797     1.2727    1.9540    
SITE208      12     0.3333     0.6667     -0.2518    2.2500    3.3292    
SITE209      6      0.6667     0.8333     0.3665     0.8333    1.6833    
SITE212      8      0.3750     0.6250     0.1452     1.8750    2.5739    
SITE215      30     0.4333     0.8000     0.5167     1.2667    1.9494    
SITE217      14     0.5000     0.8571     0.6443     1.0000    1.6036    
SITE219      13     0.3846     0.6154     -0.1320    1.9231    2.7316    
SITE229      10     0.3000     0.7000     -0.2313    1.8000    2.7203    
SITE230      8      0.2500     0.6250     -0.0013    2.3750    3.4095    
SITE231      7      0.1429     0.5714     -0.5608    3.0000    3.7607    
SITE234      8      0.5000     0.8750     -0.2800    1.2500    1.8708    
SITE239      15     0.4667     0.8667     0.4500     1.3333    2.0976    
SITE240      12     0.1667     0.5833     0.2947     2.0000    2.4833    
SITE241      23     0.3913     0.7391     0.4768     1.3913    2.0642    
SITE244      9      0.4444     0.6667     0.6124     1.3333    2.0000    
SITE245      14     0.3571     0.6429     -0.1261    2.1429    3.0706    
SITE251      9      0.4444     0.5556     -0.5117    2.2222    3.0912    
SITE253      25     0.3200     0.8000     0.3590     1.4400    2.0396    
SITE256      5      0.4000     0.6000     -0.9828    2.0000    3.0332    
SITE258      10     0.3000     0.9000     0.0698     1.4000    2.1909    
SITE259      6      0.6667     0.8333     0.2206     1.5000    2.9721    
SITE261      13     0.3077     0.4615     -0.1335    2.3077    3.1379    
SITE262      18     0.4444     0.7778     0.1943     1.3333    2.1344    
SITE268      12     0.6667     0.8333     0.6157     0.8333    1.7321    
SITE272      12     0.5000     0.7500     -0.3117    1.9167    3.3541    
SITE276      10     0.5000     0.9000     0.3750     1.0000    1.6125    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE309      12     0.5833     0.8333     0.6496     1.0833    1.8484    
SITE310      5      0.6000     0.8000     0.2647     1.2000    2.0000    
SITE322      8      0.5000     0.6250     0.0667     1.3750    2.0917    
SITE323      8      0.7500     0.8750     0.8214     0.5000    1.1180    
SITE324      14     0.5000     0.8571     0.5347     1.1429    2.0000    
SITE325      6      0.3333     0.6667     -0.8818    3.3333    4.7958    
SITE327      14     0.5000     0.9286     0.8356     0.7143    1.1339    
SITE330      11     0.5455     0.9091     0.4641     1.0909    1.8586    
SITE331      6      0.5000     0.5000     0.2154     1.6667    2.3805    
SITE332      8      0.3750     0.7500     -0.9021    1.5000    2.0616    
SITE333      4      0.7500     0.7500     0.1628     0.7500    1.5000    
SITE334      9      0.5556     0.6667     -0.3479    1.6667    2.6874    
SITE336      4      0.5000     1.0000     0.2727     1.0000    1.4142    
SITE339      8      0.3750     0.6250     0.2201     1.6250    2.0917    
SITE340      9      0.4444     0.6667     0.3063     1.4444    2.0817    
SITE343      9      0.7778     0.8889     0.8085     0.4444    1.0541    
SITE345      7      0.4286     0.7143     0.0735     1.4286    2.2678    
SITE353      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE355      8      0.6250     0.7500     0.0369     1.6250    3.0619    
SITE358      11     0.2727     0.7273     0.1144     1.4545    1.8586    
SITE360      7      0.4286     0.8571     0.5110     1.0000    1.6475    
SITE362      11     0.3636     0.6364     0.2909     1.8182    2.7303    
SITE363      9      0.5556     0.6667     -0.5000    1.6667    2.8868    
SITE366      9      0.6667     1.0000     0.9161     0.4444    0.8165    
SITE367      7      0.8571     0.8571     0.8417     0.4286    1.1339    
SITE375      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE376      8      0.5000     0.7500     0.2174     1.2500    2.1213    
SITE377      10     0.6000     0.7000     0.1304     1.4000    2.3238    
SITE380      6      0.6667     0.6667     -0.1845    1.8333    3.1885    
SITE385      8      0.6250     0.8750     0.2679     1.1250    2.2638    
SITE386      10     0.6000     0.9000     0.7209     0.8000    1.3416    
SITE389      10     0.7000     0.9000     0.5103     0.8000    1.9494    
SITE397      12     0.5000     0.8333     0.6232     1.0000    1.6330    
SITE401      5      0.6000     0.6000     0.3750     1.2000    1.8974    
SITE407      5      0.8000     0.8000     0.6875     0.6000    1.3416    
SITE411      26     0.2692     0.7308     -0.1715    1.7308    2.3122    
SITE417      21     0.3810     0.8095     0.5113     1.2381    1.7457    
SITE420      11     0.4545     0.7273     -0.6540    1.7273    2.7469    
SITE421      8      0.2500     0.8750     0.2353     1.5000    1.8028    
SITE422      9      0.2222     0.6667     -0.5158    2.0000    2.6667    
SITE424      5      0.6000     0.6000     -0.5263    2.0000    3.4059    
SITE426      13     0.5385     0.7692     0.4181     1.1538    1.9014    
SITE430      7      0.8571     1.0000     0.9901     0.1429    0.3780    
SITE434      9      0.3333     0.5556     0.1397     1.8889    2.6874    
SITE435      9      0.4444     0.6667     -0.1965    2.0000    3.1972    
SITE437      15     0.4000     0.6667     -0.2552    1.9333    2.8402    
SITE438      14     0.1429     0.7143     -0.6050    2.2143    2.6859    
SITE439      12     0.3333     0.7500     0.4586     1.5000    2.0000    
SITE442      16     0.3125     0.6875     0.2571     1.8750    2.5495    
SITE446      18     0.3333     0.6667     -0.1713    2.2222    3.2318    
SITE454      6      0.6667     0.6667     -0.3393    1.6667    2.8868    
SITE455      7      0.1429     0.1429     -2.1277    4.2857    4.8990    
SITE463      5      0.6000     0.8000     0.2526     1.4000    2.4083    
SITE464      6      0.6667     0.8333     0.4032     1.1667    2.4833    
SITE468      5      0.6000     0.6000     -2.4416    2.8000    4.6043    
SITE471      15     0.4667     0.6000     -0.2201    2.1333    3.3665    
SITE474      6      0.5000     0.8333     0.4400     1.1667    1.8708    
SITE477      9      0.5556     0.6667     -0.4658    2.0000    3.3333    
SITE483      8      0.6250     0.8750     0.7622     0.7500    1.3229    
SITE485      9      0.5556     1.0000     0.9287     0.5556    0.8819    
SITE486      5      0.8000     1.0000     0.9597     0.2000    0.4472    
SITE490      11     0.2727     0.6364     0.0891     1.7273    2.1950    
SITE492      5      0.4000     0.6000     -0.8571    1.6000    2.2804    
SITE506      8      0.6250     0.6250     0.2164     1.3750    2.3184    
SITE508      24     0.5000     0.6667     0.1523     1.7500    2.7080    
SITE520      15     0.6000     0.8667     0.5692     0.8667    1.8074    
SITE521      15     0.5333     0.9333     0.7642     0.9333    1.6330    
SITE522      15     0.5333     0.7333     0.2173     1.4000    2.2949    
SITE528      9      0.7778     1.0000     0.9615     0.2222    0.4714    
SITE538      7      0.5714     0.7143     0.0048     2.1429    3.5657    
SITE539      5      0.2000     0.2000     -1.3894    4.0000    4.6476    
SITE541      8      0.8750     0.8750     0.9010     0.3750    1.0607    
SITE542      7      0.7143     1.0000     0.9252     0.4286    0.8452    
SITE545      8      0.5000     0.7500     -0.0313    1.7500    2.9580    
SITE557      16     0.3125     0.8125     0.2845     1.5625    2.2776    
SITE561      14     0.2857     0.7143     0.5194     1.5000    2.0874    
SITE563      9      0.6667     1.0000     0.9189     0.4444    0.8165    
SITE564      7      0.5714     0.8571     0.7226     1.0000    1.7321    
SITE569      11     0.5455     0.7273     0.4391     1.0909    1.8091    
SITE572      7      0.8571     1.0000     0.9720     0.1429    0.3780    
SITE574      6      0.3333     1.0000     0.8439     0.8333    1.0801    
SITE575      14     0.4286     0.7143     -0.1667    1.7857    2.6049    
SITE577      6      0.3333     0.5000     -1.4478    2.6667    3.6968    
SITE578      7      0.7143     1.0000     0.8939     0.2857    0.5345    
SITE581      9      0.6667     0.8889     0.7418     0.6667    1.2472    
SITE584      7      0.7143     0.8571     0.4262     0.5714    1.1952    
SITE587      8      0.7500     0.8750     0.7973     0.6250    1.4577    
SITE593      10     0.3000     0.8000     -0.3758    2.0000    2.8636    
SITE595      16     0.5000     0.7500     0.1902     1.4375    2.3318    
SITE597      7      0.8571     1.0000     0.9771     0.1429    0.3780    
SITE598      7      0.2857     0.7143     0.0926     1.4286    2.0000    
SITE601      8      0.6250     0.8750     0.6329     1.0000    2.1794    
SITE602      10     0.3000     0.7000     -0.2500    2.0000    3.0000    
SITE606      13     0.5385     0.8462     0.3552     1.3077    2.5869    
SITE607      9      0.3333     0.6667     0.3940     1.6667    2.2852    
SITE610      8      0.2500     0.3750     -0.3602    2.5000    3.0822    
SITE612      13     0.4615     0.6923     -0.2386    1.7692    2.9483    
SITE616      11     0.3636     0.8182     0.5608     1.4545    1.9540    
SITE617      10     0.6000     0.9000     0.8085     0.8000    1.3416    
SITE620      15     0.5333     0.8667     0.7913     0.8667    1.3904    
SITE622      10     0.6000     0.9000     0.8113     0.6000    1.0954    
SITE623      8      0.5000     1.0000     0.6667     0.5000    0.7071    
SITE624      7      0.2857     0.5714     -0.3364    2.0000    2.4495    
SITE626      7      0.8571     1.0000     0.9832     0.1429    0.3780    
SITE629      10     0.2000     0.7000     0.3191     1.9000    2.2583    
SITE639      10     0.2000     0.8000     0.5025     1.6000    2.0000    
SITE658      12     0.4167     0.8333     0.5080     1.4167    2.0616    
SITE683      7      0.8571     1.0000     0.7455     0.2857    0.7559    
SITE684      13     0.1538     0.5385     -0.7727    3.0769    3.7826    
SITE692      13     0.3077     0.6923     0.2022     1.6923    2.2871    
SITE719      14     0.4286     0.8571     0.3843     1.2857    1.8898    
SITE721      10     0.2000     0.8000     0.4204     1.9000    2.3452    
SITE722      13     0.2308     0.4615     -0.6566    2.4615    3.0128    
SITE725      7      0.1429     0.4286     -0.9491    2.7143    3.6450    
SITE734      10     0.5000     0.8000     0.0164     1.4000    2.3238    
SITE735      13     0.3077     0.6923     0.4661     1.6154    2.0939    
SITE739      10     0.5000     0.7000     0.2649     1.6000    2.4083    
SITE747      27     0.4074     0.7037     -0.0152    1.6667    2.5892    
SITE760      29     0.8621     0.8966     -0.0410    0.5172    1.5647    
SITE786      9      0.5556     0.7778     0.1574     1.6667    3.1798    
SITE801      7      0.5714     1.0000     0.9028     0.5714    0.9258    
SITE802      8      0.3750     0.6250     -0.0435    2.1250    3.0619    
SITE821      9      0.4444     0.5556     -0.5072    2.6667    3.9441    
SITE831      9      0.5556     0.7778     0.3902     1.3333    2.3570    
SITE844      6      0.5000     0.8333     0.7582     0.8333    1.3540    
SITE852      13     0.5385     0.7692     0.4796     1.1538    1.9014    
--------------------------------------------------------------------------------------------------------------
OVERALL      2655   0.4252     0.7473     0.2731     1.5409    2.4214    
--------------------------------------------------------------------------------------------------------------
