site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,20,15,5,40,55,0.6000000238418579,0.800000011920929,-0.4444444179534912,1.2000000476837158,2.280350923538208,1.2341042757034302,1.3653331995010376,40
SITE5,37,26,11,22,37,0.1818181872367859,0.7272727489471436,0.08059704303741455,1.8181818723678589,2.2563042640686035,1.5200121998786926,1.7014589309692383,22
SITE6,38,26,12,12,27,0.4166666567325592,0.8333333134651184,0.5564356446266174,1.3333333730697632,2.1602468490600586,1.3012391924858093,1.7601693868637085,12
SITE7,113,84,29,17,32,0.4137931168079376,0.7931034564971924,0.12699371576309204,1.4137930870056152,2.281862497329712,1.4529214302698772,1.6492629647254944,17
SITE8,42,31,11,14,29,0.3636363744735718,0.9090909361839294,-0.09999990463256836,1.1818181276321411,1.6787440776824951,1.589823842048645,1.7117677927017212,14
SITE10,53,39,14,2,17,0.2857142984867096,0.7142857313156128,0.2527797818183899,1.7142857313156128,2.267786741256714,2.0624560117721558,1.8945831060409546,2
SITE11,26,20,6,5,20,0.3333333432674408,0.5,-0.6615384817123413,2.6666667461395264,3.464101552963257,1.441089928150177,2.0345726013183594,5
SITE12,53,38,15,12,27,0.4000000059604645,0.800000011920929,0.4591836929321289,1.2666666507720947,1.8797162771224976,1.1553776661554973,1.5801804065704346,12
SITE13,118,92,26,7,22,0.26923078298568726,0.807692289352417,-0.09138178825378418,1.576923131942749,2.084743022918701,1.6757371028264363,1.8236669898033142,7
SITE14,30,21,9,6,21,0.3333333432674408,0.4444444477558136,-0.6403224468231201,2.555555582046509,3.543381929397583,1.3717490434646606,1.8146597146987915,6
SITE15,57,41,16,28,43,0.25,0.6875,-0.06860959529876709,2.0,2.6220221519470215,1.612290620803833,1.8993065357208252,28
SITE17,63,47,16,9,24,0.25,0.625,-0.06542050838470459,2.0,2.669269561767578,1.6309876441955566,1.9993634223937988,9
SITE18,72,54,18,13,28,0.5,0.7777777910232544,0.6483126282691956,1.0,1.5634719133377075,1.0488473027944565,1.8942362070083618,13
SITE19,160,126,34,9,24,0.29411765933036804,0.8823529481887817,0.34939759969711304,1.1470588445663452,1.5434871912002563,1.351249784231186,1.4987435340881348,9
SITE20,31,21,10,60,60,0.4000000059604645,0.800000011920929,-0.3273196220397949,1.899999976158142,3.2093613147735596,1.0591498911380768,1.7056961059570312,60
SITE21,52,39,13,28,43,0.4615384638309479,0.692307710647583,0.5931445360183716,1.2307692766189575,1.7974340915679932,1.066499690214793,1.4822911024093628,28
SITE22,240,188,52,22,37,0.557692289352417,0.942307710647583,0.5001921951770782,0.7115384340286255,1.2009611129760742,0.8989013234774271,1.206652283668518,22
SITE24,30,21,9,1,16,0.3333333432674408,0.7777777910232544,0.10649818181991577,1.6666666269302368,2.4720661640167236,2.2344393730163574,2.002840995788574,1
SITE25,89,66,23,9,24,0.260869562625885,0.739130437374115,0.2609028220176697,1.47826087474823,1.9110661745071411,1.815911340713501,1.8808228969573975,9
SITE26,47,34,13,12,27,0.4615384638309479,0.8461538553237915,0.7345070540904999,1.0,1.493575930595398,1.209059715270996,1.957319736480713,12
SITE29,55,39,16,2,17,0.4375,0.625,0.11764705181121826,1.8125,2.5617377758026123,1.9784568945566814,2.0007169246673584,2
SITE30,42,30,12,31,46,0.4166666567325592,0.75,0.6263736188411713,1.1666666269302368,1.6832507848739624,1.2809222340583801,1.6642526388168335,31
SITE33,65,49,16,17,32,0.3125,0.75,-0.055382728576660156,1.75,2.5739076137542725,1.2529833763837814,1.7360506057739258,17
SITE35,22,16,6,16,31,0.3333333432674408,0.3333333432674408,-2.504950761795044,5.0,6.271629333496094,0.7082455158233643,1.956642508506775,16
SITE36,24,16,8,60,60,0.625,1.0,0.9433962255716324,0.5,0.8660253882408142,1.0154696702957153,1.6899853944778442,60
SITE40,81,61,20,2,17,0.20000000298023224,0.699999988079071,-0.634615421295166,2.0,2.6076810359954834,1.8339297473430634,1.9837080240249634,2
SITE41,116,88,28,31,46,0.3571428656578064,0.7857142686843872,0.20772945880889893,1.3928571939468384,2.095914363861084,1.31321120262146,1.53865385055542,31
SITE42,29,20,9,48,60,0.5555555820465088,0.8888888955116272,0.7545454651117325,1.0,1.5275251865386963,0.6660571396350861,1.2358267307281494,48
SITE43,60,45,15,27,42,0.20000000298023224,0.4000000059604645,-1.7433629035949707,3.200000047683716,4.066120147705078,1.3819369872411091,1.8697172403335571,27
SITE45,70,51,19,29,44,0.2631579041481018,0.5263158082962036,0.06578081846237183,2.21052622795105,2.7909629344940186,1.2213824093341827,1.7366498708724976,29
SITE48,48,33,15,17,32,0.4000000059604645,0.800000011920929,0.17624515295028687,1.4666666984558105,2.3944380283355713,1.8033675352732341,1.7283179759979248,17
SITE49,30,20,10,45,60,0.4000000059604645,0.800000011920929,0.27927929162979126,1.2000000476837158,1.7888543605804443,1.6904356479644775,1.799330711364746,45
SITE50,26,20,6,30,45,0.6666666865348816,1.0,0.9193548411130905,0.5,0.9128709435462952,0.8063042759895325,0.8009812831878662,30
SITE53,46,33,13,27,42,0.4615384638309479,0.7692307829856873,0.5136860907077789,1.1538461446762085,1.7759071588516235,1.602196176846822,1.7078593969345093,27
SITE58,74,54,20,18,33,0.30000001192092896,0.6000000238418579,0.028901755809783936,1.899999976158142,2.5099802017211914,1.5707787573337555,1.8887540698051453,18
SITE59,35,26,9,20,35,0.2222222238779068,0.6666666865348816,0.09756100177764893,2.0,2.8674418926239014,1.4198281168937683,1.6483649015426636,20
SITE65,37,25,12,17,32,0.25,0.6666666865348816,-0.038191795349121094,2.25,3.041381359100342,1.521136999130249,2.04659366607666,17
SITE66,31,20,11,13,28,0.1818181872367859,0.3636363744735718,-1.890697717666626,3.454545497894287,4.532709121704102,1.1628149151802063,1.9658626317977905,13
SITE73,59,43,16,22,37,0.4375,0.75,0.3713638186454773,1.625,2.5495097637176514,1.1935557126998901,1.436427116394043,22
SITE75,42,31,11,49,60,0.3636363744735718,0.5454545617103577,0.13606202602386475,1.9090908765792847,2.5405797958374023,0.8562726378440857,1.6018775701522827,49
SITE76,24,17,7,60,60,0.4285714328289032,0.7142857313156128,0.24755698442459106,2.0,3.0705978870391846,0.6882524937391281,1.886183500289917,60
SITE78,30,20,10,8,23,0.4000000059604645,0.800000011920929,0.24599426984786987,1.600000023841858,2.8284270763397217,1.2827132940292358,1.7663072347640991,8
SITE80,25,19,6,46,60,0.6666666865348816,0.8333333134651184,0.7863013744354248,0.8333333134651184,1.471960186958313,0.6842885911464691,0.6339409351348877,46
SITE81,31,22,9,40,55,0.3333333432674408,0.7777777910232544,0.447604775428772,1.6666666269302368,2.1343746185302734,0.528328999876976,1.4860130548477173,40
SITE84,54,40,14,3,18,0.4285714328289032,0.7857142686843872,0.09482753276824951,1.2142857313156128,1.7928428649902344,1.8069322506586711,1.7070392370224,3
SITE86,33,23,10,11,26,0.20000000298023224,0.699999988079071,-0.28654956817626953,2.200000047683716,2.966479539871216,1.6195793151855469,2.216928243637085,11
SITE94,68,51,17,1,16,0.1764705926179886,0.4117647111415863,-1.511758804321289,3.2352941036224365,4.123105525970459,1.6765990853309631,2.0625006556510925,1
SITE97,24,18,6,14,29,0.8333333134651184,0.8333333134651184,0.5413416922092438,1.1666666269302368,2.8577380180358887,0.5133818984031677,0.8264505863189697,14
SITE98,68,49,19,17,32,0.2631579041481018,0.8947368264198303,0.3323148488998413,1.4736841917037964,2.2004785537719727,1.703883796930313,2.1962432861328125,17
SITE104,43,32,11,31,46,0.3636363744735718,0.7272727489471436,-0.43945324420928955,1.7272727489471436,2.4679768085479736,0.9264870285987854,1.4614912271499634,31
SITE106,45,33,12,1,16,0.1666666716337204,0.6666666865348816,0.199324369430542,1.9166666269302368,2.565800666809082,2.22761869430542,1.9076128005981445,1
