--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        5      0.6000     0.8000     0.2778     1.0000    1.6125    
SITE5        11     0.1818     0.8182     0.3761     1.4545    1.8586    
SITE6        12     0.5000     0.8333     0.5881     1.1667    2.0817    
SITE7        29     0.3448     0.7931     0.0634     1.5172    2.3635    
SITE8        11     0.1818     1.0000     0.3613     1.0909    1.2792    
SITE10       14     0.2857     0.6429     0.2839     1.6429    2.2200    
SITE11       6      0.1667     0.3333     -1.4923    3.6667    4.2426    
SITE12       15     0.4667     0.9333     0.7041     0.8667    1.3904    
SITE13       26     0.3462     0.6923     -0.4777    1.7308    2.4258    
SITE14       9      0.2222     0.7778     0.5355     1.5556    1.8856    
SITE15       16     0.1875     0.6875     -0.4961    2.3750    3.1024    
SITE17       16     0.3750     0.7500     0.2056     1.5625    2.3049    
SITE18       18     0.6667     0.8889     0.6723     0.7222    1.5092    
SITE19       34     0.3235     0.8824     0.1486     1.2353    1.7657    
SITE20       10     0.4000     0.8000     0.6005     1.3000    1.7607    
SITE21       13     0.5385     0.7692     0.4188     1.2308    2.1483    
SITE22       52     0.4808     0.9423     0.5202     0.7692    1.1767    
SITE24       9      0.3333     0.5556     0.0090     1.8889    2.6034    
SITE25       23     0.3043     0.7391     0.2873     1.3478    1.8766    
SITE26       13     0.3846     0.7692     0.4049     1.4615    2.2361    
SITE29       16     0.1875     0.4375     0.0168     2.3125    2.7042    
SITE30       12     0.4167     0.9167     0.8022     0.8333    1.2247    
SITE33       16     0.3750     0.7500     0.0044     1.6250    2.5000    
SITE35       6      0.6667     0.8333     0.5693     1.1667    2.1985    
SITE36       8      0.3750     0.7500     0.2358     2.1250    3.1820    
SITE40       20     0.4000     0.7000     -0.2620    1.6500    2.2913    
SITE41       28     0.5714     0.8929     0.6200     0.8214    1.4516    
SITE42       9      0.5556     0.6667     0.5558     1.3333    2.0548    
SITE43       15     0.3333     0.8000     0.1482     1.5333    2.2657    
SITE45       19     0.3158     0.7368     0.5266     1.5263    1.9868    
SITE48       15     0.2667     0.6667     -0.1782    2.0667    2.8636    
SITE49       10     0.5000     0.8000     0.0315     1.3000    2.0736    
SITE50       6      0.8333     1.0000     0.9839     0.1667    0.4082    
SITE53       13     0.4615     0.8462     0.5730     1.0769    1.6641    
SITE58       20     0.3000     0.8000     0.4682     1.3500    1.8574    
SITE59       9      0.3333     0.7778     0.3293     1.6667    2.4721    
SITE65       12     0.4167     0.7500     0.2798     1.5833    2.5331    
SITE66       11     0.2727     0.3636     -1.9930    3.4545    4.6122    
SITE73       16     0.4375     0.7500     0.2384     1.7500    2.8062    
SITE75       11     0.5455     0.6364     0.2334     1.5455    2.3932    
SITE76       7      0.7143     0.7143     0.4870     1.2857    2.5355    
SITE78       10     0.5000     0.8000     0.6795     1.2000    1.8439    
SITE80       6      0.8333     0.8333     0.8521     0.5000    1.2247    
SITE81       9      0.4444     0.7778     0.5015     1.4444    2.0276    
SITE84       14     0.5000     0.9286     0.5172     0.8571    1.3093    
SITE86       10     0.4000     0.7000     -0.3596    1.9000    3.0496    
SITE94       17     0.2353     0.4706     -0.1733    2.2941    2.8180    
SITE97       6      0.8333     0.8333     0.5413     1.1667    2.8577    
SITE98       19     0.2105     0.6316     -0.0668    2.0526    2.7815    
SITE104      11     0.3636     0.8182     0.0762     1.3636    1.9771    
SITE106      12     0.2500     0.7500     0.0676     2.0000    2.7689    
SITE111      11     0.4545     0.5455     0.0452     2.0000    2.9542    
SITE115      16     0.3125     0.7500     -0.4873    2.0625    3.2113    
SITE116      13     0.4615     0.8462     0.4736     1.1538    1.9415    
SITE117      21     0.3810     0.7619     -0.0420    1.5238    2.2254    
SITE119      10     0.3000     0.8000     -0.4104    2.2000    3.1623    
SITE127      12     0.2500     0.8333     0.4742     1.3333    1.6833    
SITE128      14     0.5000     0.9286     0.8104     0.7143    1.1339    
SITE129      14     0.2857     0.5000     0.1138     2.0714    2.6592    
SITE132      8      0.3750     0.8750     0.3223     1.5000    2.3979    
SITE134      8      0.5000     0.6250     -0.3282    2.1250    3.2977    
SITE156      12     0.5833     0.8333     0.4432     1.0000    1.7795    
SITE160      9      0.3333     0.6667     -0.0788    2.0000    2.7889    
SITE161      12     0.4167     0.6667     0.4362     1.4167    2.0207    
SITE165      7      0.4286     0.8571     0.6595     1.1429    1.6036    
SITE167      10     0.5000     0.7000     -0.3363    1.7000    3.0166    
SITE168      9      0.5556     0.8889     0.7632     0.8889    1.5635    
SITE169      13     0.4615     0.6154     -0.1534    1.8462    2.7175    
SITE171      10     0.5000     0.8000     0.5189     1.1000    1.9235    
SITE178      9      0.3333     0.8889     0.0664     1.5556    2.3570    
SITE179      21     0.2381     0.6667     0.0462     1.8095    2.3905    
SITE186      17     0.4118     0.5882     -0.1518    2.1176    3.1249    
SITE193      12     0.4167     0.7500     0.0229     1.8333    2.8284    
