site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,20,15,5,33,48,0.6000000238418579,0.800000011920929,0.2777777910232544,1.0,1.6124515533447266,1.168867588043213,1.3449257612228394,33
SITE5,37,26,11,52,60,0.1818181872367859,0.8181818127632141,0.3761194348335266,1.454545497894287,1.8586407899856567,1.262051284313202,1.7424631118774414,52
SITE6,38,26,12,14,29,0.5,0.8333333134651184,0.5881188213825226,1.1666666269302368,2.0816659927368164,1.053288221359253,1.6779983043670654,14
SITE7,113,84,29,18,33,0.3448275923728943,0.7931034564971924,0.06339722871780396,1.517241358757019,2.363515853881836,1.2693594892819722,1.6928741335868835,18
SITE8,42,31,11,3,18,0.1818181872367859,1.0,0.3612903356552124,1.0909091234207153,1.279204249382019,1.7692118287086487,1.7001765966415405,3
SITE10,53,39,14,29,44,0.2857142984867096,0.6428571343421936,0.2839139699935913,1.6428571939468384,2.220038652420044,1.1661380926767986,1.6786961555480957,29
SITE11,26,20,6,35,50,0.1666666716337204,0.3333333432674408,-1.4923076629638672,3.6666667461395264,4.242640495300293,0.8185800015926361,1.8352231979370117,35
SITE12,53,38,15,16,31,0.46666666865348816,0.9333333373069763,0.7040816247463226,0.8666666746139526,1.3904435634613037,1.3479255437850952,1.6432716846466064,16
SITE13,118,92,26,19,34,0.3461538553237915,0.692307710647583,-0.47771167755126953,1.7307692766189575,2.4258227348327637,1.3708267013231914,1.7446600794792175,19
SITE14,30,21,9,13,28,0.2222222238779068,0.7777777910232544,0.5354838967323303,1.5555555820465088,1.8856180906295776,1.2902563214302063,1.7249131202697754,13
SITE15,57,41,16,8,23,0.1875,0.6875,-0.49605345726013184,2.375,3.1024184226989746,1.7316885391871135,2.0806260108947754,8
SITE17,63,47,16,24,39,0.375,0.75,0.20560747385025024,1.5625,2.3048861026763916,1.151842753092448,1.6684317588806152,24
SITE18,72,54,18,46,60,0.6666666865348816,0.8888888955116272,0.6722913086414337,0.7222222089767456,1.5092308521270752,0.6291992217302322,1.4314561486244202,46
