--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        5      0.4000     0.6000     -1.1111    2.0000    2.7568    
SITE5        11     0.1818     0.5455     -0.6582    2.4545    3.0302    
SITE6        12     0.2500     0.5833     -0.7188    3.0833    4.2525    
SITE7        29     0.2414     0.6552     -0.0002    1.8966    2.4424    
SITE8        11     0.1818     0.7273     -0.6323    1.6364    2.0449    
SITE10       14     0.1429     0.3571     -2.0823    3.7857    4.6059    
SITE11       6      0.3333     0.6667     -0.3846    2.3333    3.1623    
SITE12       15     0.2000     0.6000     -0.6122    2.4000    3.2455    
SITE13       26     0.2692     0.8077     -0.1204    1.6154    2.1122    
SITE14       9      0.2222     0.5556     -0.5823    2.5556    3.4801    
SITE15       16     0.1875     0.6250     -0.1366    2.1875    2.7042    
SITE17       16     0.1875     0.3125     -2.1028    3.7500    4.5552    
SITE18       18     0.2778     0.5556     -0.7105    2.5556    3.4480    
SITE19       34     0.2647     0.7941     -0.0683    1.4412    1.9778    
SITE20       10     0.2000     0.5000     -0.0825    2.4000    2.8983    
SITE21       13     0.2308     0.6154     -0.7630    2.6154    3.7417    
SITE22       52     0.4038     0.8654     -0.0329    1.1346    1.7265    
SITE24       9      0.2222     0.6667     -0.0884    2.1111    2.7285    
SITE25       23     0.2174     0.7391     -0.0383    1.7391    2.2650    
SITE26       13     0.2308     0.6154     -0.7211    2.7692    3.8028    
SITE29       16     0.1875     0.5000     -0.0084    2.2500    2.7386    
SITE30       12     0.1667     0.5000     -0.0330    2.3333    2.7988    
SITE33       16     0.1875     0.5625     -0.0056    2.0625    2.5125    
SITE35       6      0.5000     0.6667     -0.6337    2.6667    4.2817    
SITE36       8      0.3750     0.5000     -0.9245    3.5000    5.0498    
SITE40       20     0.2000     0.6500     -0.7788    2.1000    2.7203    
SITE41       28     0.1786     0.6071     -0.0113    1.9643    2.3679    
SITE42       9      0.2222     0.5556     -0.8117    3.2222    4.1500    
SITE43       15     0.2000     0.4000     -1.6991    3.2000    4.0332    
SITE45       19     0.1579     0.3684     -0.8306    3.2632    3.9068    
SITE48       15     0.2000     0.5333     -0.0920    2.2667    2.7568    
SITE49       10     0.2000     0.7000     -0.0811    1.8000    2.1909    
SITE50       6      0.3333     0.3333     -1.5484    4.0000    5.1316    
SITE53       13     0.2308     0.6923     -0.0082    1.9231    2.5570    
SITE58       20     0.1000     0.4500     -1.1657    3.1500    3.7483    
SITE59       9      0.2222     0.6667     -0.1098    2.3333    3.1798    
SITE65       12     0.2500     0.5000     -0.6555    2.9167    3.8406    
SITE66       11     0.1818     0.5455     -0.0105    2.0909    2.6799    
SITE73       16     0.1875     0.3125     -2.5119    4.9375    6.0260    
SITE75       11     0.2727     0.5455     -0.0708    2.1818    2.8284    
SITE76       7      0.2857     0.4286     -1.6678    4.5714    5.7817    
SITE78       10     0.3000     0.4000     -1.0264    3.5000    4.6368    
SITE80       6      0.5000     0.5000     -0.7918    2.8333    4.2622    
SITE81       9      0.3333     0.6667     -0.2530    2.3333    3.2146    
SITE84       14     0.2143     0.6429     -0.2069    1.7143    2.0702    
SITE86       10     0.2000     0.7000     -0.0526    2.0000    2.6833    
SITE94       17     0.2941     0.5294     -1.1293    2.7647    3.7963    
SITE97       6      0.5000     0.5000     -0.9750    4.1667    5.9301    
SITE98       19     0.1579     0.4737     -1.1555    3.1053    3.9537    
