site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,20,15,5,60,60,0.4000000059604645,0.6000000238418579,-1.1111111640930176,2.0,2.756809711456299,1.8730230331420898,1.6914657354354858,60
SITE5,37,26,11,60,60,0.1818181872367859,0.5454545617103577,-0.658208966255188,2.454545497894287,3.0301513671875,1.9778276681900024,2.0819942951202393,60
SITE6,38,26,12,16,31,0.25,0.5833333134651184,-0.7188118696212769,3.0833332538604736,4.252450466156006,1.9750089049339294,2.138612747192383,16
SITE7,113,84,29,32,47,0.24137930572032928,0.6551724076271057,-0.00019931793212890625,1.8965517282485962,2.4424407482147217,2.0133074522018433,2.0802025198936462,32
SITE8,42,31,11,60,60,0.1818181872367859,0.7272727489471436,-0.6322579383850098,1.6363636255264282,2.0449492931365967,1.9239794611930847,1.8913522958755493,60
SITE10,53,39,14,10,25,0.1428571492433548,0.3571428656578064,-2.0822832584381104,3.7857143878936768,4.605896949768066,2.166215737660726,2.2268757820129395,10
SITE11,26,20,6,53,60,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,2.1598629355430603,1.762428641319275,53
SITE12,53,38,15,36,51,0.20000000298023224,0.6000000238418579,-0.6122448444366455,2.4000000953674316,3.2455098628997803,2.0067989428838096,2.044966220855713,36
SITE13,118,92,26,60,60,0.26923078298568726,0.807692289352417,-0.12035655975341797,1.615384578704834,2.1122353076934814,1.862757921218872,1.9112269878387451,60
SITE14,30,21,9,58,60,0.2222222238779068,0.5555555820465088,-0.5822579860687256,2.555555582046509,3.480102062225342,2.0158374905586243,1.9146385192871094,58
SITE15,57,41,16,14,29,0.1875,0.625,-0.13661205768585205,2.1875,2.7041635513305664,2.0855137507120767,2.1420605182647705,14
SITE17,63,47,16,12,27,0.1875,0.3125,-2.1028037071228027,3.75,4.5552167892456055,2.115885297457377,2.1629018783569336,12
SITE18,72,54,18,6,21,0.2777777910232544,0.5555555820465088,-0.7104794979095459,2.555555582046509,3.4480268955230713,2.056626796722412,2.144665837287903,6
SITE19,160,126,34,60,60,0.2647058963775635,0.7941176295280457,-0.06827306747436523,1.441176414489746,1.9778181314468384,1.8952501863241196,2.059372663497925,60
SITE20,31,21,10,60,60,0.20000000298023224,0.5,-0.0824742317199707,2.4000000953674316,2.898275375366211,2.037354826927185,2.048220157623291,60
SITE21,52,39,13,60,60,0.23076923191547394,0.6153846383094788,-0.76304030418396,2.615384578704834,3.7416574954986572,1.9915265639623005,1.9267929792404175,60
SITE22,240,188,52,60,60,0.4038461446762085,0.8653846383094788,-0.03293609619140625,1.134615421295166,1.7264903783798218,1.4968077043692272,1.5044018030166626,60
SITE24,30,21,9,14,29,0.2222222238779068,0.6666666865348816,-0.0884476900100708,2.1111111640930176,2.7284510135650635,1.7829986810684204,2.1111667156219482,14
SITE25,89,66,23,8,23,0.21739129722118378,0.739130437374115,-0.03825557231903076,1.7391303777694702,2.2650463581085205,2.039496421813965,2.1311991214752197,8
SITE26,47,34,13,30,45,0.23076923191547394,0.6153846383094788,-0.7211266756057739,2.769230842590332,3.802832841873169,1.7291292746861775,2.100053310394287,30
SITE29,55,39,16,11,26,0.1875,0.5,-0.008403420448303223,2.25,2.7386128902435303,2.091418147087097,2.1957085132598877,11
SITE30,42,30,12,15,30,0.1666666716337204,0.5,-0.03296709060668945,2.3333332538604736,2.798809289932251,2.0716410875320435,2.1736268997192383,15
SITE33,65,49,16,31,46,0.1875,0.5625,-0.005600452423095703,2.0625,2.5124688148498535,1.915829986333847,2.1609854698181152,31
SITE35,22,16,6,60,60,0.5,0.6666666865348816,-0.633663535118103,2.6666667461395264,4.281744480133057,1.402674913406372,1.4822086095809937,60
SITE36,24,16,8,60,60,0.375,0.5,-0.9245283603668213,3.5,5.049752235412598,1.7354607582092285,1.8663585186004639,60
SITE40,81,61,20,60,60,0.20000000298023224,0.6499999761581421,-0.778846263885498,2.0999999046325684,2.720294237136841,1.9743377566337585,2.050030827522278,60
SITE41,116,88,28,24,39,0.1785714328289032,0.6071428656578064,-0.011272192001342773,1.9642857313156128,2.367940664291382,2.1183126171429953,2.0875723361968994,24
SITE42,29,20,9,60,60,0.2222222238779068,0.5555555820465088,-0.8116883039474487,3.222222328186035,4.149966239929199,1.8977178931236267,1.8757727146148682,60
SITE43,60,45,15,60,60,0.20000000298023224,0.4000000059604645,-1.6991150379180908,3.200000047683716,4.033195495605469,1.9989550908406575,2.0224218368530273,60
SITE45,70,51,19,7,22,0.15789473056793213,0.3684210479259491,-0.8305646181106567,3.263157844543457,3.906809091567993,2.164551019668579,2.2498128414154053,7
SITE48,48,33,15,54,60,0.20000000298023224,0.5333333611488342,-0.09195411205291748,2.2666666507720947,2.756809711456299,1.8574892282485962,2.1553432941436768,54
SITE49,30,20,10,20,35,0.20000000298023224,0.699999988079071,-0.08108103275299072,1.7999999523162842,2.190890312194824,2.025762915611267,2.1615047454833984,20
SITE50,26,20,6,60,60,0.3333333432674408,0.3333333432674408,-1.548387050628662,4.0,5.131601333618164,1.5668747425079346,1.6589230298995972,60
SITE53,46,33,13,46,60,0.23076923191547394,0.692307710647583,-0.008211731910705566,1.923076868057251,2.557041645050049,1.7896862824757893,2.0512642860412598,46
SITE58,74,54,20,30,45,0.10000000149011612,0.44999998807907104,-1.165703296661377,3.1500000953674316,3.748332977294922,2.144417405128479,2.079353928565979,30
SITE59,35,26,9,60,60,0.2222222238779068,0.6666666865348816,-0.10975611209869385,2.3333332538604736,3.1797971725463867,1.8130595684051514,1.6981871128082275,60
