--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        5      0.2000     0.6000     -2.2222    2.8000    3.4059    
SITE5        11     0.3636     0.7273     -0.1328    1.7273    2.5045    
SITE6        12     0.2500     0.6667     -0.5287    2.7500    4.0104    
SITE7        29     0.2414     0.6552     -0.0002    1.8966    2.4424    
SITE8        11     0.1818     0.7273     -0.8806    1.7273    2.1950    
SITE10       14     0.0000     0.3571     -1.6568    3.5714    4.2762    
SITE11       6      0.3333     0.6667     -0.3846    2.3333    3.1623    
SITE12       15     0.1333     0.5333     -1.1020    2.8000    3.7059    
SITE13       26     0.2692     0.7692     -0.2073    1.6538    2.1926    
SITE14       9      0.1111     0.4444     -0.2774    2.6667    3.1269    
SITE15       16     0.2500     0.5625     -0.9915    2.6875    3.5795    
SITE17       16     0.1875     0.3125     -1.7383    3.5625    4.2793    
SITE18       18     0.3333     0.7222     -0.1909    1.9444    2.8771    
SITE19       34     0.2647     0.8235     -0.0201    1.4412    1.9327    
SITE20       10     0.4000     0.5000     -1.8866    3.4000    4.7329    
SITE21       13     0.3077     0.7692     -0.1043    1.8462    2.9613    
SITE22       52     0.4038     0.8462     -0.2395    1.2308    1.8913    
SITE24       9      0.2222     0.6667     -0.0884    2.1111    2.7285    
SITE25       23     0.1739     0.6522     -0.1350    1.8696    2.3683    
SITE26       13     0.2308     0.6154     -0.6113    2.7692    3.6795    
SITE29       16     0.0000     0.1250     -1.4202    4.0000    4.2426    
SITE30       12     0.1667     0.5833     0.1978     2.0833    2.4664    
SITE33       16     0.1250     0.5625     -0.0853    2.1875    2.6101    
SITE35       6      0.5000     0.6667     -0.6337    2.6667    4.2817    
SITE36       8      0.3750     0.5000     -0.9245    3.5000    5.0498    
SITE40       20     0.2000     0.7500     -0.2500    1.8000    2.2804    
SITE41       28     0.1786     0.5714     -0.5201    2.3571    2.9032    
SITE42       9      0.4444     0.4444     -0.5429    2.6667    3.8297    
SITE43       15     0.1333     0.4667     -1.0686    2.8667    3.5308    
SITE45       19     0.3158     0.3684     -0.7296    2.9474    3.7975    
SITE48       15     0.1333     0.7333     -0.1207    2.2000    2.7928    
SITE49       10     0.1000     0.6000     -0.6441    2.3000    2.7019    
SITE50       6      0.3333     0.3333     -1.5484    4.0000    5.1316    
SITE53       13     0.2308     0.6154     -0.6724    2.3846    3.2933    
SITE58       20     0.1500     0.7000     -0.1175    2.1500    2.6926    
SITE59       9      0.1111     0.6667     -0.3049    2.5556    3.4480    
SITE65       12     0.2500     0.5000     -0.6555    2.9167    3.8406    
SITE66       11     0.0909     0.2727     -1.3151    3.5455    4.0564    
SITE73       16     0.3125     0.3750     -1.0249    3.5625    4.5758    
SITE75       11     0.0909     0.1818     -3.7212    5.2727    5.9391    
SITE76       7      0.1429     0.4286     -1.5651    4.4286    5.6695    
SITE78       10     0.2000     0.4000     -1.1772    3.7000    4.8062    
SITE80       6      0.5000     0.5000     -0.7918    2.8333    4.2622    
SITE81       9      0.3333     0.6667     -0.2530    2.3333    3.2146    
SITE84       14     0.2857     0.5714     -1.2931    2.1429    2.8536    
SITE86       10     0.2000     0.7000     -0.3743    2.2000    3.0659    
SITE94       17     0.2941     0.5294     -1.1293    2.7647    3.7963    
SITE97       6      0.5000     0.5000     -0.9750    4.1667    5.9301    
SITE98       19     0.0526     0.5263     -0.5458    2.8947    3.3482    
SITE104      11     0.1818     0.6364     -0.7188    2.1818    2.6968    
SITE106      12     0.3333     0.7500     0.1081     1.8333    2.7080    
SITE111      11     0.2727     0.6364     0.2143     2.0909    2.6799    
SITE115      16     0.1875     0.5625     -0.7668    2.6250    3.5000    
SITE116      13     0.2308     0.5385     -0.9554    2.7692    3.7417    
SITE117      21     0.2857     0.6667     -0.3726    1.8571    2.5542    
SITE119      10     0.3000     0.6000     -0.0014    2.1000    2.6646    
SITE127      12     0.1667     0.7500     -0.0825    1.8333    2.4152    
SITE128      14     0.2143     0.5714     -0.5696    2.5000    3.2623    
SITE129      14     0.2143     0.4286     -1.2379    3.2857    4.2258    
SITE132      8      0.0000     0.7500     -0.2228    2.3750    3.2210    
SITE134      8      0.2500     0.5000     0.1298     2.1250    2.6693    
SITE156      12     0.4167     0.5833     -0.1722    1.8333    2.5820    
SITE160      9      0.2222     0.5556     -0.6182    2.5556    3.4157    
SITE161      12     0.2500     0.5833     -0.2771    2.2500    3.0414    
SITE165      7      0.1429     0.5714     -0.1730    2.5714    2.9761    
SITE167      10     0.3000     0.8000     -0.4684    2.0000    3.1623    
SITE168      9      0.2222     0.5556     -0.4533    3.0000    3.8730    
SITE169      13     0.3077     0.4615     -0.6460    2.5385    3.2463    
SITE171      10     0.4000     0.6000     -0.7685    2.4000    3.6878    
SITE178      9      0.3333     0.4444     -1.0166    2.6667    3.4641    
SITE179      21     0.1905     0.5714     -1.0507    2.6667    3.5051    
SITE186      17     0.2353     0.5882     0.1257     2.1176    2.7225    
SITE193      12     0.1667     0.5000     -2.3893    4.0833    5.2678    
SITE194      15     0.2667     0.7333     -0.2978    1.8000    2.2657    
SITE198      14     0.3571     0.6429     -0.9221    2.1429    3.0938    
SITE203      28     0.2500     0.5357     -0.8373    2.7857    3.7033    
SITE205      20     0.2000     0.6500     -0.3565    2.3000    2.9665    
SITE207      11     0.1818     0.8182     -0.0518    1.4545    2.0889    
SITE208      12     0.2500     0.4167     -1.7953    3.9167    4.9749    
SITE209      6      0.1667     0.5000     -1.3106    2.6667    3.2146    
SITE212      8      0.1250     0.3750     -2.0645    4.0000    4.8734    
SITE215      30     0.3333     0.5667     -0.9503    2.8000    3.9158    
SITE217      14     0.1429     0.7857     -0.6104    2.3571    3.4122    
SITE219      13     0.2308     0.4615     -2.2442    3.6923    4.6244    
SITE229      10     0.1000     0.4000     -0.8303    2.8000    3.3166    
SITE230      8      0.5000     0.6250     0.1925     1.8750    3.0619    
SITE231      7      0.1429     0.2857     -2.4527    4.7143    5.5934    
SITE234      8      0.2500     0.8750     0.0857     1.2500    1.5811    
SITE239      15     0.2000     0.6000     -0.7667    2.6667    3.7594    
SITE240      12     0.2500     0.5000     -1.0874    3.0833    4.2720    
SITE241      23     0.2609     0.6087     -0.5803    2.5217    3.5874    
SITE244      9      0.3333     0.7778     0.6986     1.3333    1.7638    
SITE245      14     0.0714     0.2857     -1.0219    3.6429    4.1144    
SITE251      9      0.2222     0.3333     -3.1484    4.2222    5.1208    
SITE253      25     0.1600     0.6000     -0.5101    2.3600    3.1305    
SITE256      5      0.2000     0.6000     -1.4569    2.6000    3.3764    
SITE258      10     0.3000     0.6000     -0.8605    2.2000    3.0984    
SITE259      6      0.5000     0.5000     -1.2794    3.5000    5.0827    
SITE261      13     0.2308     0.5385     -0.7357    2.9231    3.8829    
SITE262      18     0.3889     0.6111     -0.6507    2.0000    3.0551    
SITE268      12     0.2500     0.5000     -0.7722    2.8333    3.7193    
SITE272      12     0.2500     0.5833     -1.1182    3.0000    4.2622    
SITE276      10     0.2000     0.3000     -2.4615    3.2000    3.7947    
SITE301      5      1.0000     1.0000     1.0000     0.0000    0.0000    
SITE309      12     0.3333     0.4167     -1.2564    3.5000    4.6904    
SITE310      5      0.0000     0.6000     -2.0882    3.6000    4.0988    
