site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE4,20,15,5,60,60,0.20000000298023224,0.6000000238418579,-2.222222328186035,2.799999952316284,3.4058773517608643,1.8673889636993408,1.895501971244812,60
SITE5,37,26,11,31,46,0.3636363744735718,0.7272727489471436,-0.1328357458114624,1.7272727489471436,2.5045413970947266,2.0244023203849792,2.040581464767456,31
SITE6,38,26,12,16,31,0.25,0.6666666865348816,-0.5287128686904907,2.75,4.010403156280518,2.0577560663223267,2.105325698852539,16
SITE7,113,84,29,22,37,0.24137930572032928,0.6551724076271057,-0.00019931793212890625,1.8965517282485962,2.4424407482147217,2.0254516998926797,2.074637532234192,22
SITE8,42,31,11,36,51,0.1818181872367859,0.7272727489471436,-0.8806450366973877,1.7272727489471436,2.195035696029663,1.8881714344024658,1.9960695505142212,36
SITE10,53,39,14,35,50,0.0,0.3571428656578064,-1.656782865524292,3.5714285373687744,4.276179790496826,1.9319668610890706,2.2035703659057617,35
SITE11,26,20,6,43,58,0.3333333432674408,0.6666666865348816,-0.384615421295166,2.3333332538604736,3.1622776985168457,1.7814363241195679,1.9148061275482178,43
SITE12,53,38,15,26,41,0.13333334028720856,0.5333333611488342,-1.1020407676696777,2.799999952316284,3.7058513164520264,1.8897877136866252,2.1376278400421143,26
SITE13,118,92,26,60,60,0.26923078298568726,0.7692307829856873,-0.20728075504302979,1.6538461446762085,2.1926450729370117,1.7794349590937297,1.929792582988739,60
SITE14,30,21,9,37,52,0.1111111119389534,0.4444444477558136,-0.2774193286895752,2.6666667461395264,3.126943826675415,1.8274061679840088,2.0874271392822266,37
SITE15,57,41,16,19,34,0.25,0.5625,-0.991499662399292,2.6875,3.5794553756713867,1.9755862553914387,2.1847047805786133,19
SITE17,63,47,16,60,60,0.1875,0.3125,-1.7383177280426025,3.5625,4.279310703277588,1.9884069760640461,2.1495561599731445,60
SITE18,72,54,18,15,30,0.3333333432674408,0.7222222089767456,-0.19094133377075195,1.9444444179534912,2.877112627029419,1.76102614402771,2.176792860031128,15
SITE19,160,126,34,28,43,0.2647058963775635,0.8235294222831726,-0.0200803279876709,1.441176414489746,1.9326908588409424,1.848611056804657,2.07046910127004,28
SITE20,31,21,10,38,53,0.4000000059604645,0.5,-1.8865981101989746,3.4000000953674316,4.732863903045654,1.9057268500328064,2.076385259628296,38
SITE21,52,39,13,59,60,0.3076923191547394,0.7692307829856873,-0.10432195663452148,1.8461538553237915,2.9612886905670166,1.8281487623850505,1.932984471321106,59
SITE22,240,188,52,23,38,0.4038461446762085,0.8461538553237915,-0.23952341079711914,1.2307692766189575,1.8912755250930786,1.5856903493404388,1.6260229051113129,23
SITE24,30,21,9,55,60,0.2222222238779068,0.6666666865348816,-0.0884476900100708,2.1111111640930176,2.7284510135650635,1.614503264427185,2.1201467514038086,55
SITE25,89,66,23,25,40,0.17391304671764374,0.6521739363670349,-0.1350421905517578,1.8695652484893799,2.3682684898376465,1.9786466360092163,2.1739832162857056,25
SITE26,47,34,13,10,25,0.23076923191547394,0.6153846383094788,-0.6112675666809082,2.769230842590332,3.679464817047119,1.8183589776357014,2.0751566886901855,10
SITE29,55,39,16,15,30,0.0,0.125,-1.420168161392212,4.0,4.242640495300293,2.043838620185852,2.2012152671813965,15
SITE30,42,30,12,37,52,0.1666666716337204,0.5833333134651184,0.19780218601226807,2.0833332538604736,2.4664413928985596,1.9639889597892761,2.117682933807373,37
SITE33,65,49,16,27,42,0.125,0.5625,-0.08525204658508301,2.1875,2.610076665878296,1.887540578842163,2.1768412590026855,27
SITE35,22,16,6,42,57,0.5,0.6666666865348816,-0.633663535118103,2.6666667461395264,4.281744480133057,1.356163740158081,1.635516881942749,42
SITE36,24,16,8,56,60,0.375,0.5,-0.9245283603668213,3.5,5.049752235412598,1.5925073623657227,1.8648755550384521,56
SITE40,81,61,20,22,37,0.20000000298023224,0.75,-0.25,1.7999999523162842,2.280350923538208,1.986163318157196,2.0849026441574097,22
SITE41,116,88,28,52,60,0.1785714328289032,0.5714285969734192,-0.5201288461685181,2.357142925262451,2.903200149536133,2.0277512868245444,2.0822620391845703,52
SITE42,29,20,9,59,60,0.4444444477558136,0.4444444477558136,-0.5428571701049805,2.6666667461395264,3.8297085762023926,1.7825801372528076,1.8878206014633179,59
SITE43,60,45,15,54,60,0.13333334028720856,0.46666666865348816,-1.0685839653015137,2.866666555404663,3.5308165550231934,1.8456846078236897,2.076383113861084,54
SITE45,70,51,19,9,24,0.31578946113586426,0.3684210479259491,-0.7295680046081543,2.9473683834075928,3.797506093978882,1.9687933921813965,2.252065896987915,9
SITE48,48,33,15,5,20,0.13333334028720856,0.7333333492279053,-0.1206897497177124,2.200000047683716,2.7928481101989746,2.3089030583699546,2.2586545944213867,5
SITE49,30,20,10,27,42,0.10000000149011612,0.6000000238418579,-0.6441440582275391,2.299999952316284,2.7018513679504395,2.039841413497925,2.197331428527832,27
SITE50,26,20,6,60,60,0.3333333432674408,0.3333333432674408,-1.548387050628662,4.0,5.131601333618164,1.6630659699440002,1.722156286239624,60
SITE53,46,33,13,56,60,0.23076923191547394,0.6153846383094788,-0.6724454164505005,2.384615421295166,3.2933499813079834,2.0012125174204507,2.084310531616211,56
SITE58,74,54,20,30,45,0.15000000596046448,0.699999988079071,-0.11753368377685547,2.1500000953674316,2.692582368850708,1.9973302483558655,2.2024986743927,30
SITE59,35,26,9,60,60,0.1111111119389534,0.6666666865348816,-0.30487799644470215,2.555555582046509,3.4480268955230713,1.7740062475204468,1.8854798078536987,60
SITE65,37,25,12,24,39,0.25,0.5,-0.6554949283599854,2.9166667461395264,3.8405728340148926,1.947882354259491,2.182565927505493,24
SITE66,31,20,11,44,59,0.09090909361839294,0.27272728085517883,-1.3151164054870605,3.545454502105713,4.05642032623291,1.839950680732727,2.0593678951263428,44
SITE73,59,43,16,59,60,0.3125,0.375,-1.0249338150024414,3.5625,4.575751304626465,1.8947076797485352,2.029059886932373,59
SITE75,42,31,11,27,42,0.09090909361839294,0.1818181872367859,-3.721238613128662,5.2727274894714355,5.939085006713867,1.9961434602737427,2.118662118911743,27
SITE76,24,17,7,59,60,0.1428571492433548,0.4285714328289032,-1.5651464462280273,4.4285712242126465,5.669466972351074,1.8059032559394836,2.134249210357666,59
SITE78,30,20,10,52,60,0.20000000298023224,0.4000000059604645,-1.1771914958953857,3.700000047683716,4.806245803833008,1.8472344279289246,2.0845606327056885,52
SITE80,25,19,6,60,60,0.5,0.5,-0.7917807102203369,2.8333332538604736,4.262237071990967,1.5385079383850098,1.7093439102172852,60
SITE81,31,22,9,21,36,0.3333333432674408,0.6666666865348816,-0.2529940605163574,2.3333332538604736,3.214550256729126,1.4530770182609558,1.7989501953125,21
SITE84,54,40,14,36,51,0.2857142984867096,0.5714285969734192,-1.2931034564971924,2.142857074737549,2.853569269180298,1.9164399305979412,1.9824110269546509,36
SITE86,33,23,10,10,25,0.20000000298023224,0.699999988079071,-0.3742687702178955,2.200000047683716,3.06594181060791,2.1374577283859253,2.1855244636535645,10
SITE94,68,51,17,11,26,0.29411765933036804,0.529411792755127,-1.1293456554412842,2.7647058963775635,3.796283006668091,1.8429428935050964,2.154856324195862,11
SITE97,24,18,6,58,60,0.5,0.5,-0.9750387668609619,4.166666507720947,5.930149078369141,1.3849202990531921,1.3295975923538208,58
SITE98,68,49,19,23,38,0.05263157933950424,0.5263158082962036,-0.545836329460144,2.8947367668151855,3.348212480545044,2.2279253602027893,2.226244330406189,23
SITE104,43,32,11,38,53,0.1818181872367859,0.6363636255264282,-0.7187501192092896,2.1818182468414307,2.6967995166778564,1.8969154953956604,2.1137382984161377,38
SITE106,45,33,12,33,48,0.3333333432674408,0.75,0.10810816287994385,1.8333333730697632,2.708012819290161,1.9220266739527385,2.1067302227020264,33
SITE111,42,31,11,60,60,0.27272728085517883,0.6363636255264282,0.21428567171096802,2.090909004211426,2.679891347885132,1.987928867340088,2.1491246223449707,60
SITE115,58,42,16,25,40,0.1875,0.5625,-0.7667605876922607,2.625,3.5,2.0032909711201987,2.1498918533325195,25
SITE116,48,35,13,18,33,0.23076923191547394,0.5384615659713745,-0.9553719758987427,2.769230842590332,3.7416574954986572,2.0313481092453003,2.147740125656128,18
SITE117,89,68,21,22,37,0.2857142984867096,0.6666666865348816,-0.37261438369750977,1.8571428060531616,2.5541749000549316,2.0133612632751463,1.9643677473068237,22
SITE119,35,25,10,43,58,0.30000001192092896,0.6000000238418579,-0.001410365104675293,2.0999999046325684,2.6645824909210205,1.8416883945465088,1.9386236667633057,43
SITE127,46,34,12,38,53,0.1666666716337204,0.75,-0.0824742317199707,1.8333333730697632,2.415229558944702,2.098399003346761,2.279223680496216,38
SITE128,57,43,14,47,60,0.2142857164144516,0.5714285969734192,-0.5696011781692505,2.5,3.2623393535614014,2.032008330027262,2.1748266220092773,47
SITE129,51,37,14,44,59,0.2142857164144516,0.4285714328289032,-1.237851858139038,3.2857143878936768,4.225771427154541,1.8700439929962158,2.237875461578369,44
SITE132,31,23,8,60,60,0.0,0.75,-0.22283613681793213,2.375,3.221024751663208,1.758282721042633,1.994199275970459,60
SITE134,24,16,8,60,60,0.25,0.5,0.12977099418640137,2.125,2.669269561767578,1.712395429611206,1.9647352695465088,60
SITE156,56,44,12,23,38,0.4166666567325592,0.5833333134651184,-0.17216122150421143,1.8333333730697632,2.58198881149292,1.9200107256571453,1.9765949249267578,23
SITE160,30,21,9,40,55,0.2222222238779068,0.5555555820465088,-0.6181505918502808,2.555555582046509,3.4156503677368164,1.8724061250686646,2.1689724922180176,40
SITE161,45,33,12,36,51,0.25,0.5833333134651184,-0.277085542678833,2.25,3.041381359100342,1.6743655602137248,2.050513505935669,36
SITE165,26,19,7,59,60,0.1428571492433548,0.5714285969734192,-0.1729729175567627,2.5714285373687744,2.976095199584961,2.214806854724884,2.1653478145599365,59
SITE167,33,23,10,33,48,0.30000001192092896,0.800000011920929,-0.46842896938323975,2.0,3.1622776985168457,1.885836124420166,2.034085512161255,33
SITE168,33,24,9,37,52,0.2222222238779068,0.5555555820465088,-0.453349232673645,3.0,3.872983455657959,1.8737274408340454,1.9989068508148193,37
SITE169,48,35,13,56,60,0.3076923191547394,0.4615384638309479,-0.6460258960723877,2.538461446762085,3.2462997436523438,1.5250454743703206,1.9449807405471802,56
SITE171,38,28,10,13,28,0.4000000059604645,0.6000000238418579,-0.7685304880142212,2.4000000953674316,3.6878178119659424,1.9640905261039734,1.912474274635315,13
