--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
--------------------------------------------------------------------------------------------------------------
SITE4        7      0.2857     0.2857     -3.9875    3.1429    4.0356    
SITE5        11     0.1818     0.4545     -0.4284    2.2727    2.8123    
SITE6        13     0.3846     0.9231     0.8286     0.9231    1.4142    
SITE7        31     0.3226     0.7097     -0.1956    1.8387    2.6941    
SITE8        14     0.2143     0.6429     -0.3719    1.8571    2.3604    
SITE10       16     0.3125     0.8125     0.3360     1.5625    2.1360    
SITE11       6      0.3333     0.3333     -0.9385    3.0000    3.7417    
SITE12       16     0.3750     0.6875     0.1914     1.6250    2.2361    
SITE13       29     0.1724     0.7241     -0.3681    1.9655    2.3268    
SITE14       10     0.3000     0.7000     -0.0740    1.8000    2.7203    
SITE15       19     0.1579     0.6316     -0.3106    2.3684    2.9824    
SITE17       21     0.2381     0.5238     0.0081     2.0952    2.6904    
SITE18       20     0.3500     0.8500     0.6017     1.2000    1.6125    
SITE19       44     0.3409     0.8636     0.1666     1.2273    1.9306    
SITE20       10     0.4000     0.8000     -0.4948    2.0000    3.4059    
SITE21       14     0.5000     0.8571     0.7464     0.9286    1.4392    
SITE22       60     0.4667     0.9167     0.2908     0.8833    1.3723    
SITE24       11     0.2727     0.6364     -0.1359    2.0000    2.6285    
SITE25       24     0.1667     0.6250     -0.3005    2.0833    2.5495    
SITE26       16     0.4375     0.8750     0.7060     1.0625    1.6008    
SITE29       17     0.2941     0.6471     -0.0070    1.9412    2.7332    
SITE30       13     0.3077     0.6923     0.4702     1.6154    2.2014    
SITE33       22     0.5000     0.7727     0.3046     1.2273    2.1213    
SITE35       7      0.5714     0.8571     0.7640     1.1429    1.8516    
SITE36       10     0.2000     0.6000     -0.3023    2.8000    4.0249    
SITE40       24     0.2500     0.7083     -0.2505    1.7917    2.2822    
SITE41       31     0.4194     0.7097     0.1731     1.3871    2.0713    
SITE42       12     0.6667     0.8333     0.6783     0.9167    1.7559    
SITE43       19     0.1579     0.4211     -0.5434    2.5263    3.0262    
SITE45       23     0.4348     0.7826     0.4445     1.3913    2.1264    
SITE48       16     0.3750     0.5000     -1.0615    2.6250    3.6912    
SITE49       10     0.2000     0.8000     0.2568     1.5000    1.8166    
SITE50       8      0.6250     0.8750     0.5762     1.1250    2.0310    
SITE53       15     0.2000     0.6667     0.2587     1.7333    2.1292    
SITE58       21     0.2857     0.7143     0.1989     1.6190    2.3094    
SITE59       12     0.0000     0.2500     -2.5781    4.4167    5.0908    
SITE65       13     0.1538     0.5385     -0.9190    3.1538    4.0856    
SITE66       11     0.0909     0.2727     -3.0930    4.5455    5.3936    
SITE73       18     0.3333     0.8889     0.4172     1.5000    2.4381    
SITE75       13     0.6154     0.7692     0.4982     1.0769    1.7974    
SITE76       7      0.1429     0.2857     -0.4707    3.5714    4.2929    
SITE78       11     0.4545     0.9091     0.7836     0.9091    1.4771    
SITE80       6      0.5000     0.8333     0.7699     1.0000    1.5275    
SITE81       10     0.4000     0.7000     0.2247     1.7000    2.4290    
SITE84       16     0.2500     0.8750     0.3729     1.1875    1.5207    
SITE86       10     0.3000     0.6000     -0.2281    2.2000    2.8983    
SITE94       21     0.2857     0.5714     -0.1041    2.0476    2.6637    
SITE95       6      0.8333     1.0000     0.9866     0.1667    0.4082    
SITE96       6      0.5000     0.8333     0.7172     1.0000    1.5275    
SITE97       7      0.7143     0.7143     -0.0248    2.2857    4.3095    
SITE98       20     0.3000     0.7500     0.0929     1.8500    2.5000    
SITE104      12     0.4167     0.6667     -0.3228    1.6667    2.4152    
SITE106      14     0.2857     0.7143     0.0703     1.8571    2.6992    
SITE111      15     0.4000     0.6000     0.1886     1.8000    2.6204    
SITE115      17     0.2353     0.5882     -0.0366    2.0588    2.6009    
SITE116      14     0.3571     1.0000     0.7719     1.0000    1.3093    
SITE117      24     0.1250     0.6667     -0.5435    2.0833    2.5981    
SITE119      12     0.4167     0.6667     -0.3608    2.1667    3.3166    
SITE125      8      0.1250     0.6250     -0.1050    2.3750    3.0619    
SITE127      16     0.1875     0.7500     0.2000     1.6250    2.0000    
SITE128      18     0.1667     0.6111     -0.9100    2.5000    3.5824    
SITE129      15     0.2667     0.6667     0.1788     1.8667    2.5560    
SITE132      8      0.3750     0.5000     -1.5635    3.5000    4.6637    
SITE134      9      0.2222     0.4444     -0.6475    2.6667    3.4641    
SITE156      17     0.4118     0.8824     0.5854     1.1765    1.6803    
SITE160      10     0.6000     0.9000     0.6952     0.9000    1.4491    
SITE161      14     0.4286     0.6429     0.0594     1.7143    2.4785    
SITE165      7      0.5714     0.7143     -0.1730    1.7143    2.9761    
SITE167      11     0.3636     0.8182     -0.8627    2.0909    3.3979    
SITE168      10     0.4000     0.8000     0.2612     1.7000    2.6646    
SITE169      14     0.1429     0.5000     0.1222     2.0000    2.3604    
SITE171      14     0.4286     0.7143     -0.4089    1.7143    3.0000    
SITE178      12     0.1667     0.4167     -1.1543    2.7500    3.3541    
SITE179      27     0.2963     0.6296     -0.0818    1.8148    2.4721    
SITE186      19     0.3684     0.7895     0.5028     1.4211    2.0901    
SITE193      15     0.3333     0.6667     0.0271     2.2000    3.0659    
SITE194      18     0.3333     0.7222     -0.1381    1.6111    2.1985    
SITE198      14     0.4286     0.7143     -1.0369    2.0000    3.1848    
SITE203      33     0.2424     0.7879     0.1733     1.7273    2.4309    
SITE205      24     0.2500     0.6667     -0.2843    2.0417    2.8504    
SITE207      12     0.2500     0.8333     -0.2973    1.6667    2.2361    
